target_label,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,n_pass1,n_pass2,fit_ok,A,A_err,B,pass1_fit_chi2,pass1_fit_ndf,pass1_fit_chi2_ndf,pass2_vs_pass1_fit_chi2,pass2_vs_pass1_fit_ndf,pass2_vs_pass1_fit_chi2_ndf,pass2_vs_pass1_fit_pseudo_sigma,output_file
10.6 GeV,0.118,0.155,1.912,2.51,0.15,0.25,23,20,1,0.263515540563,0.0187072869956,0.0306443297449,14.5126244716,21,0.69107735579,22.4957400639,20,1.1247870032,0.394611152489,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_036_10p6_GeV_average_xB_0p118_0p155_Q2_1p912_2p51_t_0p15_0p25.png
10.6 GeV,0.118,0.155,1.912,2.51,0.25,0.4,24,18,1,0.196655154652,0.0156505217672,-0.168241034775,19.5234394411,22,0.887429065504,22.7493232882,18,1.26385129379,0.791553881374,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_037_10p6_GeV_average_xB_0p118_0p155_Q2_1p912_2p51_t_0p25_0p4.png
10.6 GeV,0.118,0.155,1.912,2.51,0.4,0.6,17,16,1,0.179670101048,0.0242047613556,-0.0165441477972,11.477955071,15,0.765197004735,22.6278340125,16,1.41423962578,1.17164659371,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_038_10p6_GeV_average_xB_0p118_0p155_Q2_1p912_2p51_t_0p4_0p6.png
10.6 GeV,0.118,0.155,1.912,2.51,0.6,0.8,1,13,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_039_10p6_GeV_average_xB_0p118_0p155_Q2_1p912_2p51_t_0p6_0p8.png
10.6 GeV,0.155,0.204,1.2,1.456,0.15,0.25,16,4,1,0.297505461205,0.0244292991616,-0.206577337889,10.0200435263,14,0.715717394734,6.13185709216,4,1.53296427304,0.753725303193,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_040_10p6_GeV_average_xB_0p155_0p204_Q2_1p2_1p456_t_0p15_0p25.png
10.6 GeV,0.155,0.204,1.2,1.456,0.25,0.4,12,2,1,0.17197089656,0.033088495733,-0.721203029233,8.73100573743,10,0.873100573743,0.845372592451,2,0.422686296225,-0.577313703775,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_041_10p6_GeV_average_xB_0p155_0p204_Q2_1p2_1p456_t_0p25_0p4.png
10.6 GeV,0.155,0.204,1.2,1.456,0.4,0.6,15,1,1,0.127924893884,0.028613435114,-0.588359006531,22.520475252,13,1.73234425015,1.76705600561,1,1.76705600561,0.542390503117,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_042_10p6_GeV_average_xB_0p155_0p204_Q2_1p2_1p456_t_0p4_0p6.png
10.6 GeV,0.155,0.204,1.2,1.456,0.6,0.8,9,3,1,0.0926018481342,0.0234398163588,-0.700692238872,21.7540337274,7,3.10771910392,1.57985636777,3,0.526618789255,-0.579771210073,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_043_10p6_GeV_average_xB_0p155_0p204_Q2_1p2_1p456_t_0p6_0p8.png
10.6 GeV,0.155,0.204,1.456,1.912,0.11,0.15,1,7,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_044_10p6_GeV_average_xB_0p155_0p204_Q2_1p456_1p912_t_0p11_0p15.png
10.6 GeV,0.155,0.204,1.456,1.912,0.15,0.25,16,17,1,0.37940921802,0.0223434126207,-0.0117290154983,20.3183245938,14,1.45130889956,67.5125445393,17,3.97132614937,8.66282992044,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_045_10p6_GeV_average_xB_0p155_0p204_Q2_1p456_1p912_t_0p15_0p25.png
10.6 GeV,0.155,0.204,1.456,1.912,0.25,0.4,16,14,1,0.349106168212,0.029477417598,-0.404366247369,36.563340542,14,2.61166718157,58.0952918327,14,4.14966370233,8.33322686986,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_046_10p6_GeV_average_xB_0p155_0p204_Q2_1p456_1p912_t_0p25_0p4.png
10.6 GeV,0.155,0.204,1.456,1.912,0.4,0.6,14,15,1,0.279698907565,0.0386546283407,-0.176549362674,12.586638901,12,1.04888657508,14.0787999953,15,0.938586666352,-0.168187340853,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_047_10p6_GeV_average_xB_0p155_0p204_Q2_1p456_1p912_t_0p4_0p6.png
10.6 GeV,0.155,0.204,1.456,1.912,0.6,0.8,5,14,1,0.207536137988,0.0488490613774,0.0193538886406,2.42736643964,3,0.809122146548,17.9940234804,14,1.28528739146,0.754799489983,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_048_10p6_GeV_average_xB_0p155_0p204_Q2_1p456_1p912_t_0p6_0p8.png
10.6 GeV,0.155,0.204,1.456,1.912,0.8,1,18,5,1,0.0231714690821,0.00789592538496,-0.949999951776,16.9275819656,16,1.05797387285,2.96924417137,5,0.593848834273,-0.642181379014,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_049_10p6_GeV_average_xB_0p155_0p204_Q2_1p456_1p912_t_0p8_1.png
10.6 GeV,0.155,0.204,1.912,2.51,0.11,0.15,0,10,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_050_10p6_GeV_average_xB_0p155_0p204_Q2_1p912_2p51_t_0p11_0p15.png
10.6 GeV,0.155,0.204,1.912,2.51,0.15,0.25,15,21,1,0.327764734618,0.0329895581174,0.0696130627162,12.0639269174,13,0.927994378261,22.0153522691,21,1.04835010805,0.156672256519,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_051_10p6_GeV_average_xB_0p155_0p204_Q2_1p912_2p51_t_0p15_0p25.png
10.6 GeV,0.155,0.204,1.912,2.51,0.25,0.4,24,23,1,0.25648926631,0.0325325449642,-0.140195220452,21.4436071631,22,0.974709416506,23.8121348034,23,1.03531020885,0.119742744081,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_052_10p6_GeV_average_xB_0p155_0p204_Q2_1p912_2p51_t_0p25_0p4.png
10.6 GeV,0.155,0.204,1.912,2.51,0.4,0.6,14,18,1,0.169480852868,0.021548529007,-0.661679545798,5.52564028715,12,0.460470023929,36.9021228493,18,2.05011793607,3.15035380822,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_053_10p6_GeV_average_xB_0p155_0p204_Q2_1p912_2p51_t_0p4_0p6.png
10.6 GeV,0.155,0.204,1.912,2.51,0.6,0.8,8,13,1,0.202517043494,0.030366874809,-0.549314638402,1.77671920614,6,0.29611986769,20.0245459616,13,1.54034968935,1.37762680509,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_054_10p6_GeV_average_xB_0p155_0p204_Q2_1p912_2p51_t_0p6_0p8.png
10.6 GeV,0.155,0.204,1.912,2.51,0.8,1,16,12,1,0.0811489233258,0.0303473416511,-0.526199522291,25.9274089921,14,1.85195778515,11.8949370885,12,0.991244757374,-0.0214458770081,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_055_10p6_GeV_average_xB_0p155_0p204_Q2_1p912_2p51_t_0p8_1.png
