# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
0.28139 2.16072 0.198173 -0.18183 10.2 0.00804255 0.0455674
0.465416 2.17113 0.201515 -0.177965 10.2 0.2125 0.0510703
0.654307 2.1366 0.209091 -0.174721 10.2 0.242538 0.061729
0.844025 2.12573 0.216902 -0.179444 10.2 0.28868 0.080767
1.03951 2.13717 0.214473 -0.177194 10.2 0.0712511 0.0988354
1.2642 2.14073 0.20348 -0.173466 10.2 0.42536 0.0532168
1.5007 2.11626 0.203002 -0.177788 10.2 0.451736 0.0510357
1.72526 2.12922 0.20059 -0.188483 10.2 0.214882 0.0793078
1.91453 2.12026 0.193539 -0.188697 10.2 0.200965 0.088152
2.13489 2.11876 0.190643 -0.184529 10.2 0.333614 0.0693445
2.35243 2.10149 0.181424 -0.184799 10.2 0.0383853 0.0977493
2.57885 2.14178 0.180408 -0.187104 10.2 0.0736695 0.0903292
2.87991 2.13111 0.183704 -0.196907 10.2 0.160882 0.0764931
3.33979 2.12913 0.180076 -0.195277 10.2 -0.0941306 0.0903668
3.86395 2.14203 0.188278 -0.197735 10.2 -0.304386 0.104012
4.46151 2.17441 0.215596 -0.191213 10.2 -0.21955 0.148056
5.66095 2.25243 0.192733 -0.179604 10.2 -0.0221449 0.101016
5.88613 2.22407 0.190675 -0.183328 10.2 0.0447147 0.0633879
6.13516 2.20853 0.190953 -0.183321 10.2 -0.00338804 0.0383895
0.0984499 2.15874 0.308398 -0.236003 10.2 0.0552195 0.0945899
0.277188 2.14229 0.300315 -0.227349 10.2 0.0539578 0.0740562
0.479985 2.1485 0.305268 -0.230226 10.2 0.0413396 0.105902
0.675381 2.13098 0.303118 -0.24418 10.2 0.313602 0.0725278
0.938243 2.11736 0.307872 -0.235699 10.2 0.103809 0.100105
1.32815 2.15718 0.316971 -0.249953 10.2 0.466141 0.0824455
5.18953 2.15463 0.317833 -0.245372 10.2 -0.0434758 0.134186
5.63743 2.18822 0.309828 -0.226227 10.2 -0.162394 0.107186
5.87175 2.13557 0.321698 -0.241255 10.2 0.159152 0.0935939
6.1373 2.15008 0.305946 -0.242834 10.2 -0.073077 0.0784112
0.101037 1.91212 0.153261 -0.264514 10.2 -0.033155 0.0661352
0.296362 1.95007 0.151668 -0.277932 10.2 0.0437502 0.045566
0.478125 2.00816 0.148376 -0.298517 10.2 0.0712709 0.0296723
0.654422 2.03474 0.141768 -0.306256 10.2 0.160004 0.0264228
0.823581 2.02541 0.137748 -0.29632 10.2 0.179854 0.0539101
1.99611 2.01813 0.146751 -0.295369 10.2 -0.0053057 0.102382
2.37756 2.00839 0.144763 -0.303447 10.2 0.387993 0.0639864
2.67348 1.99067 0.142693 -0.30504 10.2 0.0212293 0.0897968
2.89958 1.97721 0.145027 -0.301062 10.2 0.0517483 0.106315
3.20012 2.01449 0.146366 -0.299132 10.2 -0.0564642 0.11005
4.47223 2.00862 0.143012 -0.345654 10.2 -0.773884 0.13566
5.45089 2.03428 0.138227 -0.291735 10.2 -0.188897 0.0615575
5.62885 2.03458 0.141915 -0.306378 10.2 -0.126506 0.0281065
5.80645 1.99682 0.148382 -0.302286 10.2 -0.172939 0.0324533
5.98718 1.94783 0.151919 -0.278798 10.2 -0.101704 0.0463163
6.17531 1.91112 0.153129 -0.264581 10.2 -0.11134 0.0698099
0.0944952 2.13954 0.182314 -0.324723 10.2 0.0621024 0.0297776
0.281266 2.15209 0.178358 -0.324752 10.2 0.0659078 0.0312188
0.460397 2.23378 0.176282 -0.327592 10.2 0.20115 0.0398701
0.630196 2.27991 0.178427 -0.319098 10.2 0.200399 0.100228
1.08709 2.21399 0.222556 -0.299856 10.2 0.176808 0.108487
1.59447 2.15788 0.209741 -0.305728 10.2 0.294433 0.0797271
1.88167 2.12111 0.208298 -0.316467 10.2 0.249741 0.0852235
2.1314 2.1049 0.199796 -0.326657 10.2 0.199409 0.0828238
2.3627 2.12992 0.192709 -0.321122 10.2 -0.201706 0.108981
2.54735 2.11313 0.193051 -0.337469 10.2 0.057878 0.0890326
2.72548 2.11722 0.191123 -0.330856 10.2 0.0113838 0.087888
2.91652 2.10221 0.190352 -0.330086 10.2 0.00427523 0.0848064
3.12618 2.10347 0.188553 -0.325312 10.2 0.159279 0.0900534
3.39158 2.07513 0.199049 -0.337401 10.2 0.0257898 0.0973274
3.64333 2.10443 0.196453 -0.332137 10.2 0.175598 0.0859351
3.96825 2.13991 0.206192 -0.317528 10.2 -0.0598139 0.123319
4.66208 2.18948 0.182387 -0.342514 10.2 -0.37776 0.170004
5.33958 2.25841 0.174395 -0.348476 10.2 -0.149014 0.146099
5.70242 2.28705 0.165752 -0.329038 10.2 -0.347884 0.0878006
5.87929 2.21749 0.169613 -0.333829 10.2 -0.127391 0.0419283
6.12779 2.14112 0.177336 -0.326357 10.2 -0.0341788 0.0248106
0.088664 2.13041 0.309667 -0.396866 10.2 0.0756978 0.0830051
0.301548 2.16641 0.305765 -0.383705 10.2 0.0478776 0.102124
0.732343 2.19025 0.316298 -0.37694 10.2 0.3544 0.0709609
1.39741 2.1823 0.30762 -0.377983 10.2 0.38048 0.119134
2.05174 2.11484 0.310623 -0.396639 10.2 -0.163878 0.169927
2.59803 2.15331 0.30791 -0.402588 10.2 0.0435184 0.145391
3.23122 2.17389 0.300003 -0.404397 10.2 -0.344274 0.194108
3.90466 2.13547 0.304701 -0.391237 10.2 -0.55406 0.232943
5.89738 2.19321 0.323255 -0.382282 10.2 -0.195411 0.123328
6.19021 2.1284 0.309253 -0.394715 10.2 -0.0631228 0.0803924
0.448263 1.94375 0.150912 -0.59397 10.2 0.0485477 0.0546952
0.59404 2.01847 0.1435 -0.578801 10.2 0.13168 0.0297515
0.757981 2.02657 0.138341 -0.515435 10.2 0.21003 0.0580285
2.46996 1.98706 0.143325 -0.568002 10.2 0.107849 0.0980986
2.90289 1.99162 0.145269 -0.558695 10.2 0.0599243 0.106496
3.33464 1.9743 0.146894 -0.579816 10.2 0.394992 0.0920524
4.62242 1.99468 0.144637 -0.596117 10.2 -0.131486 0.094495
5.10079 1.95628 0.145811 -0.586579 10.2 -0.371466 0.111536
5.58351 2.03631 0.140406 -0.538562 10.2 -0.158364 0.0569257
5.73986 2.00772 0.146166 -0.586874 10.2 -0.0250728 0.031452
5.88534 1.89467 0.153975 -0.559372 10.2 -0.39792 0.13502
0.0961659 2.08816 0.205118 -0.569964 10.2 0.0346211 0.0421025
0.290321 2.10929 0.18822 -0.578311 10.2 0.138849 0.0351466
0.462957 2.18398 0.172808 -0.597047 10.2 0.0495043 0.0425362
0.649409 2.25747 0.171328 -0.587439 10.2 0.110256 0.107239
1.09032 2.10711 0.198262 -0.737956 10.2 0.0711478 0.110568
1.96279 2.1364 0.204646 -0.563728 10.2 0.100978 0.133364
2.34291 2.1184 0.19769 -0.587917 10.2 0.141417 0.105085
2.63877 2.11977 0.197957 -0.575408 10.2 -0.0384936 0.107105
2.88914 2.09398 0.190458 -0.565155 10.2 0.168335 0.0899935
3.20616 2.09835 0.204634 -0.592174 10.2 0.148223 0.101312
3.56209 2.09674 0.205276 -0.57328 10.2 -0.0171806 0.10536
4.02134 2.16155 0.199204 -0.570891 10.2 -0.385581 0.177245
4.60635 2.16354 0.184323 -0.614148 10.2 -0.209154 0.121068
4.9391 2.12926 0.191574 -0.628401 10.2 -0.379335 0.100818
5.21422 2.06775 0.199004 -0.654427 10.2 -0.159063 0.0916762
5.46075 2.08781 0.207691 -0.635228 10.2 -0.223016 0.0835071
5.70971 2.23851 0.172565 -0.582676 10.2 -0.150313 0.0723849
5.87847 2.13806 0.178205 -0.590735 10.2 -0.0161398 0.0319415
6.10528 2.11109 0.197994 -0.577507 10.2 -0.0622883 0.028591
0.14796 2.1965 0.313831 -0.609302 10.2 -0.20753 0.117322
2.29487 2.16467 0.303212 -0.653881 10.2 0.0774096 0.158036
2.72531 2.19036 0.314038 -0.662609 10.2 -0.0693385 0.178602
3.39827 2.1473 0.296161 -0.688178 10.2 0.135925 0.11264
6.14207 2.16281 0.320514 -0.657593 10.2 -0.281703 0.138635
0.172248 1.9953 0.143423 -1.34646 10.2 -0.0800591 0.0807517
0.415778 2.01691 0.143866 -1.0196 10.2 0.0589381 0.0682012
0.624727 2.03415 0.141617 -0.968902 10.2 0.148787 0.136641
4.64078 2.03703 0.14548 -1.0066 10.2 -0.207461 0.194188
5.7651 2.03279 0.144354 -0.926613 10.2 -0.0628537 0.0790805
