bin 	 bin	 xB 	 xB 	 xB 	 Q2 	 Q2 	 Q2 	 |t| 	 |t| 	 |t| 	 t_min 	 t_col  
number 	name 	 min. 	 max. 	 avg. 	  min. 	 max. 	 avg. 	 min. 	 max. 	 avg. 	  	  
67 	 (3, 3, 4) 	 0.155 	 0.204 	 0.174 	 1.912 	 2.510 	 2.203 	 0.600 	 0.800 	 0.696 	 0.032 	 0.905
68 	 (3, 3, 5) 	 0.155 	 0.204 	 0.177 	 1.912 	 2.510 	 2.190 	 0.800 	 1.000 	 0.894 	 0.033 	 0.934
69 	 (3, 4, 1) 	 0.155 	 0.204 	 0.184 	 2.510 	 3.295 	 2.760 	 0.150 	 0.250 	 0.196 	 0.036 	 0.786
70 	 (3, 4, 2) 	 0.155 	 0.204 	 0.183 	 2.510 	 3.295 	 2.757 	 0.250 	 0.400 	 0.321 	 0.035 	 0.779
71 	 (3, 4, 3) 	 0.155 	 0.204 	 0.183 	 2.510 	 3.295 	 2.761 	 0.400 	 0.600 	 0.494 	 0.035 	 0.779
72 	 (3, 4, 4) 	 0.155 	 0.204 	 0.186 	 2.510 	 3.295 	 2.750 	 0.600 	 0.800 	 0.691 	 0.036 	 0.815
77 	 (4, 1, 1) 	 0.204 	 0.268 	 0.231 	 1.000 	 1.456 	 1.326 	 0.150 	 0.250 	 0.197 	 0.056 	 1.010
78 	 (4, 1, 2) 	 0.204 	 0.268 	 0.231 	 1.000 	 1.456 	 1.324 	 0.250 	 0.400 	 0.322 	 0.056 	 1.009
79 	 (4, 1, 3) 	 0.204 	 0.268 	 0.231 	 1.000 	 1.456 	 1.320 	 0.400 	 0.600 	 0.501 	 0.056 	 1.007
80 	 (4, 1, 4) 	 0.204 	 0.268 	 0.230 	 1.000 	 1.456 	 1.312 	 0.600 	 0.800 	 0.711 	 0.056 	 1.002
81 	 (4, 1, 5) 	 0.204 	 0.268 	 0.232 	 1.000 	 1.456 	 1.307 	 0.800 	 1.000 	 0.908 	 0.057 	 1.003
82 	 (4, 2, 1) 	 0.204 	 0.268 	 0.230 	 1.456 	 1.912 	 1.681 	 0.150 	 0.250 	 0.196 	 0.057 	 1.163
83 	 (4, 2, 2) 	 0.204 	 0.268 	 0.231 	 1.456 	 1.912 	 1.678 	 0.250 	 0.400 	 0.320 	 0.057 	 1.163
84 	 (4, 2, 3) 	 0.204 	 0.268 	 0.230 	 1.456 	 1.912 	 1.672 	 0.400 	 0.600 	 0.497 	 0.057 	 1.160
85 	 (4, 2, 4) 	 0.204 	 0.268 	 0.230 	 1.456 	 1.912 	 1.661 	 0.600 	 0.800 	 0.703 	 0.057 	 1.154
86 	 (4, 2, 5) 	 0.204 	 0.268 	 0.229 	 1.456 	 1.912 	 1.643 	 0.800 	 1.000 	 0.912 	 0.056 	 1.145
