,xBQ2t_binnum,xBmin,xBmax,Q2min,Q2max,tmin,tmax,phimin,phimax,xB_binnum,Q2_binnum,t_binnum,phi_binnum,phi_binwidth,xB,Q2,t,phi,val,stat_err,syst_err_pointtopoint,syst_err_total,Syst. err (pi0 subtraction),Syst. err (Acceptance),Syst.err (exclusivity),Syst.err (fiducial),Syst.err (smearing),Syst.err (Frad),Syst.err (Fbin),Syst.err (Frad*Fbin)
638,35,0.118,0.155,1.456,1.912,0.15,0.25,300,315,2,2,1,20,1,0.13227318774200209,1.6976228252632117,0.19665540697460387,307.9716165786328,0.8992964498376845,0.07478029154744466,0.13546271869404297,0.31602169690176724,0.00026572862813603485,0.08443220756828751,0.051885895677967864,0.07417067796189133,0.05481936951947171,0.0047121519952870545,0.002569933068777384,0.004762452653758024
639,35,0.118,0.155,1.456,1.912,0.15,0.25,315,330,2,2,1,21,1,0.13227318774200209,1.6976228252632117,0.19665540697460387,323.0171736518922,1.3877364923329394,0.08047116628285716,0.1726356527062583,0.47320502139278026,0.0003022992662496009,0.054910606734619644,0.00915629260362202,0.13071395558324284,0.09795470809291205,0.0019203721711630536,0.0036209644563580563,0.004764635607962133
640,35,0.118,0.155,1.456,1.912,0.15,0.25,330,345,2,2,1,22,1,0.13227318774200209,1.6976228252632117,0.19665540697460387,337.99420253955134,1.647306376605518,0.09826509670802198,0.18971767574004225,0.5563476664286466,0.000586014497627826,0.04003869238132726,0.0802535886529805,0.14419719792736685,0.08436555552102538,0.003873192173199183,0.0043237185839423925,0.006191837162635831
641,35,0.118,0.155,1.456,1.912,0.15,0.25,345,360,2,2,1,23,1,0.13227318774200209,1.6976228252632117,0.19665540697460387,352.7009122166568,2.46209022419651,0.1952199035789752,0.42887018998634285,0.891606266207271,0.0007093866945434394,0.1467135016727868,0.13748195792783313,0.33835720469341113,0.17030033021329904,0.005944905120643321,0.0032535236112133984,0.003898187012006222
642,36,0.118,0.155,1.456,1.912,0.25,0.4,0,15,2,2,2,0,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,6.7259718900835495,2.3437650541454644,0.2273406599410221,0.4230152574331019,0.85595227705527,0.0008299936269708626,0.15455106217930942,0.14866394567832045,0.2935704924993813,0.21607183718240827,0.0062833326953461895,0.005036210527511646,0.009140387117783626
643,36,0.118,0.155,1.456,1.912,0.25,0.4,15,30,2,2,2,1,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,21.597112511115633,1.3481284851882114,0.07702159492482986,0.1639682578937468,0.45834781466745556,0.0004522822622915073,0.08525748708095056,0.07292358015454375,0.05027610400111011,0.10826392127600351,0.008062214515400333,0.0012475855692440545,0.0070664070052410865
644,36,0.118,0.155,1.456,1.912,0.25,0.4,30,45,2,2,2,2,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,36.734545490328955,0.7537841467026675,0.0382251555158801,0.08598054417603783,0.2542944654420042,0.00021526915225546285,0.05554603279277708,0.013080576946442112,0.03729589514916247,0.052227827700499586,0.0020314305035612507,0.0010055015628585686,0.004173080689517926
645,36,0.118,0.155,1.456,1.912,0.25,0.4,45,60,2,2,2,3,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,51.907984578403024,0.4300500341194351,0.03552018612614018,0.10615091152508467,0.17294531834187704,0.00014618095348630262,0.05309315281589938,0.006205754034651267,0.0904321264254162,0.01484988154821967,0.001575999199196795,0.0019896336940013037,0.003480218074423331
646,36,0.118,0.155,1.456,1.912,0.25,0.4,60,75,2,2,2,4,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,67.00460030382887,0.2530307585740497,0.05935514695618276,0.05489674788202636,0.09729986183445785,6.42934053204132e-05,0.03949423026966733,0.0028287116058118653,0.037224856676886964,0.004144861901691472,0.0026269205875487684,0.0017803855062217496,0.0065561517401266575
648,36,0.118,0.155,1.456,1.912,0.25,0.4,90,120,2,2,2,6,2,0.13116450203662927,1.7058084322207265,0.3244793730902442,103.99479090904647,0.13434275824839528,0.02039040150996967,0.01839633760535306,0.04645043270635744,0.0008594345722085071,0.013563294418251692,0.008596162864028867,0.005611794807380409,0.006451399860344745,0.002477975226216278,7.869613556370549e-05,0.002591686116591967
649,36,0.118,0.155,1.456,1.912,0.25,0.4,120,135,2,2,2,8,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,127.36212113529787,0.10768162091636534,0.012085861470732134,0.012614672046669587,0.03644073848260654,0.0005882114085966382,0.008937190900787526,0.0031862735620768363,0.0031518427827282895,0.007526536621923248,0.001415665498173317,0.0001877808444847381,0.0014749140063496694
