
xB     Q2     -t     phi    sig              stat-err        sys-err
0.154  1.302  0.261  202.6  0.209222         0.0239926       0.0168379
0.154  1.302  0.261  217.7  0.320872         0.0331118       0.0202316
0.154  1.302  0.261  232.8  0.231506         0.0224299       0.0213894
0.154  1.302  0.262  247.8  0.326688         0.0375406       0.0519339
0.154  1.302  0.262  262.9  0.385419         0.0323011       0.0279262
0.154  1.302  0.262  278    0.546762         0.0342543       0.0438313
0.154  1.301  0.262  293.1  1.08592          0.0718922       0.0740264
0.154  1.301  0.262  308.3  1.73319          0.0954195       0.134289
0.154  1.301  0.341  51.7   1.03533          0.051244        0.0637237
0.154  1.302  0.34   66.8   0.767788         0.059961        0.0494418
0.154  1.302  0.34   82     0.390278         0.0347768       0.0326337
0.154  1.302  0.34   97.1   0.299122         0.0288089       0.0204049
0.154  1.302  0.34   112.1  0.232821         0.0220438       0.0173623
0.154  1.302  0.34   127.2  0.22463          0.0296766       0.0224717
0.154  1.303  0.34   157.4  0.115737         0.0131172       0.0147249
0.154  1.303  0.34   172.5  0.176171         0.0236054       0.0135921
0.154  1.303  0.34   187.5  0.162216         0.0240617       0.0118788
0.154  1.303  0.34   202.6  0.143983         0.0191744       0.0112453
0.154  1.302  0.34   232.8  0.20964          0.0247616       0.0247162
0.154  1.302  0.34   247.9  0.148182         0.0182736       0.0347388
0.154  1.302  0.34   262.9  0.314255         0.0314885       0.0293429
0.154  1.302  0.34   278    0.375011         0.0296679       0.0261161
0.154  1.302  0.34   293.2  0.525216         0.0352624       0.0357399
0.154  1.301  0.341  308.3  0.905625         0.0534223       0.055223
0.155  1.301  0.451  37.1   1.20687          0.0750503       0.0730471
0.155  1.302  0.447  51.7   0.549634         0.029232        0.0341149
0.154  1.302  0.447  66.8   0.357128         0.0290899       0.0231815
0.154  1.302  0.447  81.9   0.157985         0.0172354       0.0181289
0.154  1.302  0.447  97     0.194583         0.0200787       0.0178971
0.154  1.303  0.447  112.1  0.128523         0.0137205       0.00951269
0.154  1.303  0.446  127.2  0.0773009        0.0105058       0.00642293
0.154  1.303  0.446  142.3  0.089831         0.0163454       0.0264651
0.154  1.303  0.446  157.4  0.0661417        0.00993307      0.0112755
0.154  1.303  0.446  172.5  0.0833066        0.0144984       0.0174502
0.154  1.303  0.446  187.5  0.0459527        0.0120442       0.0346729
0.154  1.303  0.446  202.6  0.0940719        0.0153131       0.00911323
0.154  1.303  0.446  217.7  0.0960258        0.0125409       0.0123656
0.154  1.303  0.446  232.8  0.113579         0.0138965       0.0126808
0.154  1.303  0.447  247.9  0.0912273        0.0125585       0.00829873
0.154  1.302  0.447  263    0.113791         0.0124586       0.0103722
0.154  1.302  0.447  278.1  0.195157         0.0186998       0.0195955
0.154  1.302  0.447  293.2  0.294484         0.0233359       0.0197115
0.155  1.302  0.447  308.3  0.498781         0.0363163       0.0562029
0.155  1.301  0.451  322.9  0.879012         0.0589743       0.0901319
0.155  1.303  0.603  36.5   0.46254          0.0226012       0.0345653
0.155  1.302  0.604  51.7   0.264482         0.0176579       0.019098
0.155  1.303  0.604  66.8   0.165504         0.0156075       0.0106255
0.155  1.303  0.604  81.9   0.0901792        0.012959        0.00699878
0.154  1.303  0.604  97     0.0528898        0.00689474      0.0071713
0.154  1.303  0.604  112.1  0.055294         0.00736304      0.00810639
0.154  1.303  0.604  127.2  0.0619639        0.0116761       0.00556272
0.154  1.303  0.603  142.3  0.0554564        0.0174486       0.00621147
0.154  1.303  0.603  157.4  0.00684517       0.00557979      0.000810919
0.154  1.303  0.603  172.5  0.0438729        0.0180498       0.00702362
0.154  1.303  0.603  202.6  0.00864919       0.00722376      0.00106831
0.154  1.303  0.603  217.7  0.0128564        0.00426661      0.00386682
0.154  1.303  0.604  232.8  0.0881453        0.0158923       0.00769157
0.154  1.303  0.604  247.9  0.0497213        0.0080992       0.00763803
0.154  1.303  0.604  263    0.0703013        0.00826247      0.0077991
0.155  1.303  0.604  278.1  0.0789998        0.00826805      0.00686753
0.155  1.303  0.604  293.2  0.11508          0.010744        0.0088116
0.155  1.302  0.604  308.3  0.167129         0.0151466       0.01011
0.155  1.303  0.603  323.5  0.505368         0.029064        0.032086
0.154  1.295  0.895  7.8    0.297623         0.0228228       0.0194808
0.155  1.303  0.86   21.7   0.240773         0.015708        0.0147172
0.155  1.303  0.863  36.6   0.131945         0.00817487      0.00933729
0.155  1.303  0.865  51.7   0.0785729        0.00624859      0.00788187
0.155  1.303  0.865  66.8   0.0457166        0.00480811      0.0033478
0.155  1.303  0.865  81.9   0.0372079        0.0063076       0.00780646
0.155  1.303  0.865  97     0.0178489        0.00386669      0.00315304
0.155  1.303  0.865  112.1  0.0217724        0.00762392      1417.41
0.155  1.303  0.864  232.8  0.0442843        0.0267133       0.00905925
0.155  1.303  0.865  247.9  0.0126624        0.00488425      0.00179616
0.155  1.303  0.865  263    0.0118711        0.0025508       0.00147562
0.155  1.303  0.865  293.2  0.040989         0.00413441      0.00362938
0.155  1.303  0.865  308.3  0.0842836        0.00895746      0.00595083
0.155  1.303  0.863  323.4  0.138197         0.0104815       0.00974688
0.155  1.303  0.86   338.3  0.275412         0.0154478       0.0209641
0.154  1.295  0.895  352.2  0.330772         0.0224264       0.021252
0.155  1.302  1.392  7.2    0.0492117        0.0039346       0.00460428
0.155  1.302  1.386  21.8   0.032678         0.00364768      0.00246506
0.155  1.303  1.382  36.7   0.0177387        0.00212656      0.00139446
0.155  1.303  1.38   51.7   0.0125552        0.0016838       0.00127872
0.155  1.304  1.379  66.8   0.00726499       0.00136195      0.00124719
0.155  1.304  1.379  81.9   0.0152121        0.0101632       0.00863173
0.154  1.303  1.378  157.3  0.00932424       0.00398533      0.00292388
0.155  1.305  1.38   172.5  0.0194574        0.0168569       0.00786826
0.155  1.304  1.379  278.1  0.00692336       0.00182273      0.000959419
0.155  1.304  1.379  293.2  0.010458         0.00212204      0.00170103
0.155  1.303  1.38   308.3  0.00914745       0.0017518       0.000667835
0.155  1.303  1.382  323.3  0.0261152        0.00344275      0.00210412
0.155  1.302  1.386  338.2  0.0405635        0.00340624      0.00254957
0.155  1.302  1.392  352.8  0.0570741        0.00389871      0.00403532
0.155  1.423  0.108  67     3.60818          0.196878        0.452549
0.155  1.424  0.108  82.1   2.67534          0.129183        0.196792
0.155  1.424  0.108  97.2   2.04188          0.110815        0.161646
0.155  1.425  0.108  112.2  1.76345          0.121499        0.125281
0.155  1.425  0.108  127.3  1.67797          0.158384        0.227288
0.155  1.425  0.108  142.3  1.24277          0.0933727       0.11086
0.155  1.425  0.108  157.4  1.36766          0.104608        0.0863413
0.155  1.425  0.108  172.5  1.60414          0.164408        0.206836
0.155  1.425  0.108  187.5  1.08367          0.103562        0.169325
0.155  1.425  0.108  202.6  1.30869          0.0996404       0.0914483
0.155  1.425  0.108  217.7  1.34743          0.102123        0.116348
0.155  1.425  0.108  232.7  1.45696          0.120319        0.171626
0.155  1.425  0.108  247.8  2.1151           0.157706        0.256049
0.155  1.424  0.108  262.8  1.98686          0.10661         0.136836
0.155  1.424  0.108  277.9  2.75836          0.140637        0.165172
0.155  1.423  0.108  293    3.25549          0.173048        0.231474
0.155  1.424  0.153  67     2.5201           0.12035         0.153511
0.155  1.425  0.153  82     1.89842          0.0903877       0.120915
0.155  1.425  0.153  97.1   1.28642          0.0623681       0.0898401
0.155  1.426  0.153  112.2  1.08657          0.0668316       0.0832358
0.155  1.426  0.152  127.3  0.976484         0.0808912       0.074425
0.155  1.426  0.152  142.3  0.804274         0.0591217       0.0504248
0.155  1.426  0.152  157.4  0.74043          0.0521409       0.0591512
0.155  1.426  0.152  172.5  0.666662         0.0560798       0.0541383
0.155  1.426  0.152  187.5  0.990763         0.0936949       0.0606937
0.155  1.426  0.152  202.6  0.764119         0.0552265       0.0679876
0.155  1.426  0.152  217.7  0.862088         0.0584965       0.0822863
0.155  1.426  0.152  232.7  0.907844         0.0696649       0.0866151
0.155  1.426  0.153  247.8  0.921401         0.0587086       0.0706746
