beam_energy_MeV,theta_deg,Q2_GeV2,GE,GE_stat,GE_syst,GE_total,beam_energy_GeV,source,normalization_note
2143,0.9945,0.001383,0.99441,0.00072,0.00135,0.0015300000000000001,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.0355,0.001499,0.99573,0.00072,0.00122,0.0014166156853571824,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.081,0.001634,0.99464,0.00072,0.00125,0.0014425324953012324,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.131,0.001789,0.99471,0.00071,0.00142,0.0015876082640248507,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.184,0.00196,0.99597,0.00071,0.00136,0.0015341773039645712,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.2405,0.002152,0.994,0.00069,0.0013,0.001471767644704829,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.304,0.002377,0.99299,0.00069,0.00136,0.0015250245899656831,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.3775,0.002653,0.99175,0.00069,0.00141,0.0015697770542341355,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.4655,0.003002,0.99152,0.00067,0.00128,0.0014447491131680962,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.574,0.003463,0.98992,0.00066,0.00143,0.001574960316960399,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
