# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
352.40858 1.23062 0.147092 -0.342307 10.6041 -0.0272579 0.0277363
5.19372 1.2123 0.234882 -0.330858 10.6041 -0.0168883 0.0886718
19.03584 1.24987 0.241202 -0.320014 10.6041 0.241084 0.0755443
48.52483 1.26973 0.248088 -0.326206 10.6041 0.108479 0.157647
115.64122 1.19305 0.231327 -0.355053 10.6041 0.103166 0.197125
264.15131 1.2464 0.242437 -0.359478 10.6041 -0.35183 0.296074
303.85671 1.20145 0.23765 -0.376674 10.6041 -0.00844682 0.150572
349.93111 1.24102 0.240991 -0.330393 10.6041 -0.067066 0.0715668
14.86287 1.07899 0.100203 -0.677204 10.6041 0.0184197 0.0568613
24.13642 1.15545 0.101123 -0.605954 10.6041 0.107098 0.0165088
33.87779 1.1817 0.0884375 -0.539581 10.6041 0.0659403 0.0162303
43.91939 1.17953 0.0835573 -0.496122 10.6041 0.0887407 0.0298377
55.03214 1.14377 0.0963899 -0.521142 10.6041 0.236076 0.051841
66.39951 1.14956 0.107063 -0.569869 10.6041 0.243359 0.0646125
77.81741 1.17611 0.103671 -0.579818 10.6041 0.285523 0.0730006
102.69581 1.15759 0.103033 -0.595304 10.6041 -0.00907658 0.11479
125.31217 1.15934 0.0987094 -0.519428 10.6041 -0.049887 0.103501
139.17947 1.15978 0.0958013 -0.539456 10.6041 0.0369868 0.0942393
149.34661 1.17395 0.0962247 -0.546406 10.6041 0.189639 0.0622003
160.34568 1.16797 0.0992283 -0.547964 10.6041 0.0178736 0.0654931
170.76205 1.16625 0.0979716 -0.550906 10.6041 -0.166659 0.0746628
181.79378 1.16517 0.0971619 -0.565623 10.6041 0.280896 0.0608324
192.58544 1.16145 0.103037 -0.560152 10.6041 -0.0145401 0.111188
204.77855 1.17117 0.105033 -0.558237 10.6041 -0.0101048 0.097186
225.53624 1.17547 0.100762 -0.55511 10.6041 -0.15438 0.104113
245.22193 1.16017 0.0935493 -0.553584 10.6041 -0.102152 0.102915
257.35316 1.17736 0.0961437 -0.559525 10.6041 -0.156739 0.0912193
268.53558 1.16435 0.0978248 -0.559882 10.6041 -0.0585814 0.0782172
279.34443 1.1616 0.102275 -0.560881 10.6041 -0.0775793 0.0699015
289.64048 1.14741 0.105993 -0.570375 10.6041 -0.109989 0.0672654
300.84008 1.15525 0.102085 -0.527525 10.6041 -0.174642 0.0730375
312.36398 1.17527 0.083122 -0.49437 10.6041 -0.125972 0.0468792
322.87432 1.18182 0.0845107 -0.523626 10.6041 -0.138529 0.0216395
332.91827 1.17039 0.097283 -0.590121 10.6041 -0.0688859 0.015368
341.21470 1.12178 0.107828 -0.636108 10.6041 -0.100785 0.0286473
5.96695 1.22913 0.160428 -0.497658 10.6041 0.0192736 0.0364247
15.85179 1.22615 0.146828 -0.575049 10.6041 0.0503379 0.0305856
26.38774 1.21785 0.156225 -0.612999 10.6041 0.158211 0.0743348
38.33128 1.13591 0.161458 -0.631304 10.6041 -0.0543047 0.0751093
48.38457 1.18005 0.159885 -0.626027 10.6041 0.171522 0.0642351
58.62218 1.20597 0.157903 -0.614117 10.6041 0.23415 0.0713848
71.47247 1.18866 0.156862 -0.609171 10.6041 0.228971 0.0949233
95.00557 1.19865 0.166412 -0.606874 10.6041 0.139941 0.125954
121.97985 1.17526 0.167617 -0.557114 10.6041 -0.0774756 0.128495
141.77325 1.1982 0.164115 -0.5641 10.6041 0.291823 0.0813648
156.29028 1.20387 0.159002 -0.55621 10.6041 0.0315649 0.110745
167.42457 1.22755 0.159884 -0.574394 10.6041 -0.0188872 0.115662
178.71241 1.21566 0.15774 -0.575641 10.6041 -0.028082 0.118077
190.70900 1.20041 0.167692 -0.594555 10.6041 -0.160986 0.109496
204.89658 1.19744 0.16505 -0.588704 10.6041 0.100387 0.0951628
220.36129 1.19243 0.158671 -0.545768 10.6041 0.128846 0.103068
248.09932 1.19505 0.165294 -0.602608 10.6041 0.144881 0.137362
266.87687 1.19181 0.161085 -0.60654 10.6041 0.198461 0.102488
278.66719 1.18063 0.164418 -0.612102 10.6041 -0.225531 0.142514
290.19911 1.21705 0.160298 -0.593382 10.6041 -0.210363 0.123943
300.66018 1.20037 0.161484 -0.577721 10.6041 -0.0701404 0.0863065
311.37048 1.19264 0.159555 -0.559169 10.6041 -0.142176 0.0764416
321.77310 1.18503 0.17074 -0.556745 10.6041 -0.26477 0.0679061
333.96392 1.23589 0.160564 -0.581078 10.6041 -0.0884502 0.0664479
344.14996 1.21776 0.146884 -0.580397 10.6041 -0.0709303 0.0267092
353.77508 1.22674 0.163489 -0.506383 10.6041 -0.00569041 0.0362944
13.56816 1.24216 0.23729 -0.614597 10.6041 0.0690111 0.0807899
52.36811 1.19352 0.227067 -0.626021 10.6041 -0.0101473 0.173151
271.60262 1.22956 0.239253 -0.657794 10.6041 -0.138076 0.20933
307.12830 1.22461 0.237553 -0.629447 10.6041 -0.294677 0.158553
330.75364 1.22502 0.233944 -0.669069 10.6041 -0.122697 0.109817
5.63519 1.16138 0.0915199 -1.0086 10.6041 0.0744695 0.0220526
15.80762 1.17489 0.0946136 -0.93586 10.6041 -0.0100643 0.0274823
25.56286 1.2006 0.088328 -0.947211 10.6041 0.117237 0.0586395
48.93724 1.18971 0.104255 -1.01744 10.6041 -0.0662802 0.140575
81.80405 1.16412 0.0969952 -1.1011 10.6041 0.320182 0.0845165
117.70902 1.1571 0.100688 -1.37973 10.6041 0.151726 0.163511
155.59758 1.16513 0.09682 -1.05021 10.6041 0.118918 0.132329
185.65093 1.15437 0.0998131 -1.04696 10.6041 -0.0195084 0.120093
229.65581 1.15153 0.101001 -1.26326 10.6041 -0.408619 0.236788
263.84993 1.14439 0.0982814 -1.06927 10.6041 0.128651 0.120111
289.63761 1.17096 0.106922 -0.989553 10.6041 0.151543 0.0994825
328.52082 1.19637 0.0906071 -1.02756 10.6041 -0.206049 0.125064
341.04281 1.1889 0.0953786 -0.905977 10.6041 -0.0174061 0.0307074
352.24127 1.15655 0.0930728 -1.00144 10.6041 -0.0321333 0.0194224
9.42166 1.2477 0.15307 -1.0633 10.6041 -0.0499286 0.0519026
17.92894 1.25032 0.151802 -1.04026 10.6041 0.101795 0.0705833
42.08776 1.21036 0.171353 -1.04893 10.6041 -0.125322 0.105938
64.43541 1.18129 0.162531 -1.11257 10.6041 -0.111066 0.131021
163.41501 1.18985 0.162837 -1.13458 10.6041 0.0150266 0.127203
199.87747 1.22548 0.158404 -1.21649 10.6041 -0.204731 0.188634
235.79333 1.18359 0.16724 -1.08644 10.6041 0.296705 0.175919
272.61676 1.18044 0.158923 -1.11202 10.6041 -0.068472 0.192555
307.36894 1.22565 0.156269 -1.08396 10.6041 -0.0816408 0.166549
340.37589 1.24909 0.152429 -1.06795 10.6041 -0.030561 0.0673885
350.26171 1.23629 0.150607 -1.04361 10.6041 0.0350375 0.0464439
5.56356 1.55971 0.119462 -0.146889 10.6041 0.0192776 0.0258981
16.25476 1.56827 0.11794 -0.149001 10.6041 0.0742729 0.0231447
26.99668 1.57653 0.11477 -0.151686 10.6041 0.0847095 0.0214654
37.67232 1.5832 0.110147 -0.153927 10.6041 0.110276 0.0258141
48.17710 1.5741 0.104702 -0.156443 10.6041 0.193822 0.0272789
58.63822 1.55108 0.101216 -0.155785 10.6041 0.208435 0.0397022
69.13767 1.54144 0.100597 -0.15109 10.6041 0.020469 0.11428
91.45495 1.51495 0.115951 -0.152894 10.6041 0.374287 0.0610126
116.12995 1.55367 0.117481 -0.164445 10.6041 0.0208766 0.0888863
130.04939 1.55723 0.115671 -0.166858 10.6041 0.256696 0.0641645
144.33666 1.56462 0.114982 -0.168444 10.6041 0.255783 0.0670548
156.25361 1.55664 0.114019 -0.165339 10.6041 -0.0495801 0.0898187
169.00421 1.53337 0.113913 -0.167603 10.6041 0.159925 0.0769243
183.43244 1.55329 0.114349 -0.167102 10.6041 0.0147037 0.0940127
201.06579 1.55058 0.114898 -0.166278 10.6041 0.0969284 0.0770513
223.55495 1.54779 0.11812 -0.165738 10.6041 -0.521007 0.163603
291.07001 1.54481 0.0991286 -0.151087 10.6041 -0.302465 0.153381
301.25892 1.56007 0.101551 -0.153954 10.6041 -0.165468 0.0499925
311.73029 1.57386 0.104883 -0.15526 10.6041 -0.194213 0.0319679
322.09338 1.58258 0.110167 -0.155015 10.6041 -0.17687 0.0257489
332.87817 1.57685 0.114772 -0.155419 10.6041 -0.0843754 0.0247865
343.50195 1.56132 0.117903 -0.152581 10.6041 -0.120179 0.0271862
354.34804 1.55738 0.119291 -0.144884 10.6041 -0.0384128 0.0259585
5.47147 1.63274 0.157266 -0.174366 10.6041 0.0471181 0.0406104
15.85913 1.6201 0.163178 -0.170379 10.6041 0.0552729 0.0501996
26.92512 1.61072 0.173583 -0.168073 10.6041 0.168115 0.0513254
37.64831 1.59909 0.178931 -0.163998 10.6041 0.292582 0.0509047
48.43247 1.58336 0.173506 -0.160991 10.6041 0.267475 0.0672752
59.34869 1.59834 0.167641 -0.156846 10.6041 0.159411 0.0798073
69.83954 1.59633 0.165954 -0.159026 10.6041 0.36865 0.0586386
80.80939 1.59643 0.164307 -0.167376 10.6041 0.353226 0.0576213
93.38467 1.59559 0.164071 -0.170859 10.6041 0.447105 0.0506948
107.38089 1.59698 0.160328 -0.170612 10.6041 0.444565 0.056831
120.16243 1.61358 0.158144 -0.175888 10.6041 0.117028 0.102014
131.54595 1.59617 0.153608 -0.175412 10.6041 0.0778702 0.0854056
