# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
225.58 1.32 0.18 -0.32 10.59 0.26 0.46
254.61 1.32 0.18 -0.33 10.59 -0.59 0.72
314.84 1.32 0.18 -0.33 10.59 -0.29 0.28
346.62 1.32 0.18 -0.33 10.59 -0.11 0.17
14.47 1.33 0.18 -0.50 10.59 0.20 0.10
44.16 1.32 0.18 -0.50 10.59 0.26 0.19
76.60 1.32 0.18 -0.50 10.59 -0.10 0.90
105.38 1.32 0.18 -0.50 10.59 0.02 0.71
164.21 1.32 0.18 -0.50 10.59 -0.40 0.47
313.28 1.32 0.18 -0.50 10.59 -0.19 0.48
346.93 1.33 0.18 -0.50 10.59 -0.17 0.14
14.48 1.33 0.18 -0.70 10.59 0.34 0.13
44.66 1.32 0.18 -0.70 10.59 0.75 0.20
104.85 1.32 0.18 -0.70 10.59 0.89 0.82
134.46 1.32 0.18 -0.69 10.59 0.26 0.47
163.36 1.33 0.18 -0.70 10.59 0.01 0.32
194.69 1.32 0.18 -0.70 10.59 0.10 0.45
255.80 1.32 0.18 -0.70 10.59 -0.71 0.53
312.99 1.32 0.18 -0.70 10.59 -0.48 0.17
347.14 1.33 0.18 -0.70 10.59 -0.35 0.16
13.25 1.33 0.18 -0.90 10.59 0.09 0.25
45.73 1.32 0.18 -0.90 10.59 0.21 0.41
75.59 1.32 0.18 -0.90 10.59 0.09 0.43
104.68 1.33 0.18 -0.90 10.59 0.42 0.40
134.49 1.33 0.18 -0.90 10.59 0.48 0.52
284.41 1.31 0.18 -0.90 10.59 -0.12 0.43
312.83 1.32 0.18 -0.90 10.59 -0.39 0.88
348.17 1.33 0.18 -0.90 10.59 0.13 0.25
134.77 1.67 0.18 -0.13 10.59 0.01 0.25
43.08 1.69 0.18 -0.20 10.59 0.29 0.14
76.41 1.69 0.18 -0.20 10.59 0.45 0.19
105.51 1.67 0.18 -0.20 10.59 0.37 0.26
134.84 1.68 0.18 -0.20 10.59 0.19 0.20
164.26 1.68 0.18 -0.20 10.59 0.17 0.16
224.58 1.66 0.18 -0.20 10.59 -0.23 0.25
253.91 1.66 0.18 -0.20 10.59 -0.91 0.42
283.81 1.66 0.18 -0.20 10.59 -0.31 0.22
346.15 1.70 0.18 -0.20 10.59 0.01 0.15
15.50 1.68 0.18 -0.32 10.59 0.06 0.08
43.03 1.68 0.18 -0.32 10.59 0.18 0.16
76.09 1.67 0.18 -0.32 10.59 0.44 0.25
105.68 1.67 0.18 -0.32 10.59 0.47 0.19
134.66 1.67 0.18 -0.32 10.59 0.40 0.20
164.19 1.67 0.18 -0.32 10.59 0.04 0.19
195.45 1.67 0.18 -0.32 10.59 -0.13 0.19
224.95 1.67 0.18 -0.32 10.59 -0.35 0.28
254.51 1.65 0.18 -0.32 10.59 -0.80 0.45
284.11 1.66 0.18 -0.33 10.59 -0.41 0.34
315.62 1.66 0.18 -0.33 10.59 -0.24 0.18
346.59 1.69 0.18 -0.33 10.59 -0.18 0.12
15.04 1.69 0.18 -0.50 10.59 0.23 0.10
42.51 1.68 0.18 -0.50 10.59 0.69 0.12
76.40 1.66 0.18 -0.50 10.59 0.68 0.55
105.40 1.66 0.18 -0.50 10.59 0.17 0.21
134.41 1.67 0.18 -0.50 10.59 0.43 0.37
163.89 1.67 0.18 -0.50 10.59 0.10 0.16
194.97 1.67 0.18 -0.49 10.59 0.09 0.18
255.05 1.65 0.18 -0.50 10.59 -0.09 0.31
284.22 1.66 0.18 -0.50 10.59 -0.32 0.30
314.13 1.66 0.18 -0.50 10.59 -0.45 0.26
347.12 1.68 0.18 -0.50 10.59 -0.06 0.09
14.22 1.70 0.18 -0.70 10.59 0.16 0.11
43.90 1.66 0.18 -0.70 10.59 0.40 0.19
75.96 1.65 0.18 -0.70 10.59 0.60 0.39
134.25 1.67 0.18 -0.70 10.59 -0.13 0.56
164.02 1.66 0.18 -0.69 10.59 0.54 0.65
195.03 1.66 0.18 -0.70 10.59 0.35 0.65
225.87 1.66 0.18 -0.69 10.59 -0.20 0.48
255.53 1.65 0.18 -0.70 10.59 0.27 0.60
284.24 1.66 0.18 -0.70 10.59 -0.35 0.26
312.40 1.67 0.18 -0.70 10.59 -0.28 0.24
347.79 1.70 0.18 -0.70 10.59 -0.08 0.11
12.90 1.71 0.17 -0.90 10.59 0.17 0.08
44.84 1.66 0.18 -0.90 10.59 0.23 0.26
105.35 1.66 0.18 -0.90 10.59 -0.29 0.31
134.35 1.67 0.18 -0.89 10.59 0.29 0.61
164.13 1.67 0.18 -0.90 10.59 0.05 0.42
194.88 1.66 0.18 -0.89 10.59 -0.22 0.30
225.94 1.66 0.18 -0.90 10.59 0.13 0.36
284.39 1.66 0.18 -0.90 10.59 -0.14 0.25
347.94 1.72 0.17 -0.91 10.59 -0.13 0.09
15.25 2.25 0.17 -0.13 10.59 -0.09 0.15
76.12 2.20 0.18 -0.13 10.59 0.17 0.22
104.63 2.19 0.18 -0.13 10.59 -0.01 0.85
134.80 2.19 0.18 -0.13 10.59 0.25 0.34
163.53 2.19 0.18 -0.13 10.59 -0.08 0.19
194.92 2.18 0.18 -0.13 10.59 0.05 0.24
224.14 2.17 0.18 -0.13 10.59 -0.44 0.44
76.08 2.20 0.18 -0.20 10.59 0.04 0.20
104.65 2.19 0.18 -0.20 10.59 0.36 0.13
135.31 2.19 0.18 -0.20 10.59 0.09 0.10
163.97 2.19 0.18 -0.20 10.59 0.12 0.12
195.56 2.18 0.18 -0.20 10.59 -0.09 0.13
223.63 2.17 0.18 -0.20 10.59 -0.44 0.64
345.64 2.26 0.17 -0.20 10.59 -0.03 0.10
15.02 2.26 0.17 -0.33 10.59 0.01 0.06
41.78 2.25 0.17 -0.33 10.59 0.10 0.11
75.77 2.18 0.18 -0.32 10.59 0.41 0.10
104.69 2.19 0.18 -0.32 10.59 0.33 0.12
135.77 2.18 0.18 -0.32 10.59 0.32 0.11
164.23 2.18 0.18 -0.32 10.59 -0.03 0.12
224.18 2.17 0.18 -0.32 10.59 0.30 0.40
345.55 2.26 0.17 -0.33 10.59 0.01 0.06
14.90 2.25 0.17 -0.50 10.59 0.10 0.03
40.67 2.27 0.17 -0.50 10.59 0.25 0.11
75.71 2.19 0.18 -0.49 10.59 0.21 0.11
104.80 2.18 0.18 -0.50 10.59 0.10 0.19
135.48 2.19 0.18 -0.50 10.59 0.24 0.13
163.91 2.18 0.18 -0.50 10.59 0.17 0.16
195.08 2.16 0.18 -0.50 10.59 -0.29 0.18
224.38 2.17 0.18 -0.50 10.59 -0.32 0.32
255.65 2.19 0.18 -0.50 10.59 -0.36 0.38
284.69 2.19 0.18 -0.50 10.59 -0.45 0.43
319.49 2.31 0.17 -0.50 10.59 -0.20 0.06
345.22 2.26 0.17 -0.50 10.59 -0.09 0.03
14.85 2.24 0.17 -0.70 10.59 0.03 0.03
39.37 2.28 0.17 -0.70 10.59 0.22 0.06
75.95 2.17 0.18 -0.70 10.59 0.34 0.40
104.88 2.17 0.18 -0.69 10.59 0.60 0.22
135.68 2.18 0.18 -0.69 10.59 0.51 0.58
163.89 2.18 0.18 -0.69 10.59 -0.03 0.45
194.64 2.17 0.18 -0.70 10.59 -0.38 0.43
225.26 2.17 0.18 -0.69 10.59 0.16 0.35
284.69 2.19 0.18 -0.70 10.59 -0.17 0.13
319.43 2.29 0.17 -0.70 10.59 -0.16 0.10
345.23 2.24 0.17 -0.70 10.59 -0.11 0.03
14.89 2.21 0.17 -0.90 10.59 0.05 0.03
38.72 2.28 0.17 -0.90 10.59 0.25 0.12
105.40 2.17 0.18 -0.89 10.59 -0.05 0.27
135.40 2.19 0.18 -0.89 10.59 0.12 0.39
163.79 2.19 0.18 -0.89 10.59 0.06 0.26
194.49 2.17 0.18 -0.90 10.59 -0.02 0.29
256.68 2.18 0.18 -0.90 10.59 -0.11 0.19
284.48 2.18 0.18 -0.90 10.59 -0.53 0.19
319.49 2.27 0.17 -0.90 10.59 -0.17 0.06
344.75 2.22 0.17 -0.90 10.59 -0.08 0.03
163.46 2.74 0.19 -0.13 10.59 -0.06 0.27
224.77 2.73 0.19 -0.13 10.59 -0.81 0.35
14.70 2.76 0.18 -0.20 10.59 0.05 0.07
76.17 2.71 0.19 -0.20 10.59 0.54 0.36
163.82 2.73 0.19 -0.20 10.59 0.16 0.18
195.11 2.72 0.19 -0.20 10.59 -0.37 0.26
224.68 2.74 0.19 -0.20 10.59 -0.73 0.43
345.77 2.77 0.18 -0.20 10.59 -0.10 0.10
14.89 2.76 0.18 -0.33 10.59 0.09 0.07
104.66 2.71 0.19 -0.32 10.59 0.05 0.20
163.76 2.73 0.19 -0.32 10.59 -0.43 0.85
195.55 2.73 0.19 -0.31 10.59 0.25 0.44
225.06 2.73 0.19 -0.32 10.59 -0.47 0.59
318.90 2.77 0.18 -0.33 10.59 -0.32 0.11
345.16 2.76 0.18 -0.33 10.59 -0.05 0.04
15.72 2.75 0.19 -0.50 10.59 0.05 0.04
40.55 2.75 0.18 -0.50 10.59 0.13 0.05
75.95 2.70 0.19 -0.49 10.59 0.27 0.25
135.56 2.73 0.19 -0.49 10.59 0.33 0.28
164.05 2.74 0.19 -0.50 10.59 -0.00 0.25
225.01 2.72 0.19 -0.49 10.59 -0.37 0.44
319.64 2.76 0.18 -0.50 10.59 -0.25 0.06
344.29 2.75 0.19 -0.50 10.59 -0.16 0.04
16.59 2.73 0.19 -0.69 10.59 0.16 0.07
40.03 2.75 0.18 -0.70 10.59 0.12 0.07
163.92 2.71 0.19 -0.69 10.59 0.06 0.26
194.66 2.73 0.19 -0.69 10.59 -0.74 0.52
256.47 2.71 0.19 -0.70 10.59 0.19 1.00
284.15 2.72 0.19 -0.70 10.59 -0.13 0.32
320.22 2.76 0.18 -0.70 10.59 -0.20 0.10
343.23 2.73 0.19 -0.70 10.59 -0.05 0.04
17.72 2.71 0.19 -0.89 10.59 -0.21 0.10
39.56 2.75 0.18 -0.90 10.59 0.31 0.12
136.77 2.72 0.19 -0.89 10.59 0.19 0.41
256.68 2.73 0.19 -0.90 10.59 -0.05 0.23
283.70 2.70 0.19 -0.90 10.59 -0.57 0.22
320.47 2.75 0.18 -0.90 10.59 -0.01 0.13
342.05 2.71 0.19 -0.89 10.59 -0.04 0.05
15.62 1.11 0.23 -0.20 10.59 0.04 0.42
