selection,variable,bin_label,x_center,x_low,x_high,pair_label,numerator_period,denominator_period,n_rows,mean_acc_num,mean_acc_den,sem_acc_num,sem_acc_den,ratio,ratio_err,mean_gen_num,mean_gen_den,mean_reco_num,mean_reco_den,mean_reco_cc_num,mean_reco_cc_den,abs_log_ratio,percent_deviation,gen_ratio,reco_ratio,reco_cc_ratio
all_data,Q2,1.2-1.456,1.3279999999999998,1.2,1.456,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,112,0.0901598774726241,0.07202983563714822,0.0038241021635787723,0.0032940666312068173,1.2517018354283957,0.0780726724717643,53794.357142857145,48032.84821428572,3071.473214285714,2112.4285714285716,3688.3096460129195,2715.4073112847145,0.22450409369924834,25.170183542839574,1.1199493501378055,1.4540009805910596,1.3582896498381694
all_data,Q2,1.456-1.912,1.684,1.456,1.912,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,297,0.08153860407706416,0.06692887847151192,0.0024478084233514794,0.0020699392080712055,1.2182873213955143,0.052509761287127935,79441.26936026936,70954.11111111111,4893.026936026936,3452.296296296296,5875.681533676873,4437.731400945865,0.19744603752403614,21.828732139551434,1.1196147498186217,1.417325315117445,1.3240282033348212
all_data,Q2,1.912-2.51,2.211,1.912,2.51,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,338,0.08599096823672692,0.07283164689931412,0.002790805647123781,0.002335837047286976,1.1806813644569216,0.053871935890271914,47770.54437869822,42610.769230769234,4230.792899408284,2941.378698224852,5080.452659849601,3780.975759581226,0.16609169933632492,18.06813644569216,1.1210908707135734,1.4383706871752369,1.3436882389355236
all_data,Q2,2.51-3.295,2.9025,2.51,3.295,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,289,0.0840949181445908,0.07301780077891563,0.0029178663577572694,0.002544274287454788,1.1517043412361134,0.05663349478221517,30672.681660899652,27384.647058823528,2851.667820069204,1971.9723183391004,3424.361273629922,2534.858751341068,0.14124288110136535,15.170434123611344,1.120068540412928,1.4460993156694155,1.3509081213374363
all_data,Q2,3.295-4.326,3.8104999999999998,3.295,4.326,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,211,0.08418469643487261,0.07508378153736493,0.0031006851796510056,0.0028184385772899475,1.1212101296866444,0.05896367635322777,22601.488151658767,20166.431279620854,2036.7109004739336,1402.516587677725,2445.73855484731,1802.855655281154,0.11440857495074142,12.121012968664434,1.120748031135219,1.4521831102520522,1.356591442960473
all_data,Q2,4.326-5.761,5.0435,4.326,5.761,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,119,0.07728185911268078,0.07593696821470795,0.0037848823192169873,0.004178956969228616,1.0177106214481755,0.07497334490472041,14611.285714285714,13059.789915966387,810.2857142857143,580.0084033613446,973.0134067675688,745.5679592654037,0.01755561587954889,1.7710621448175479,1.1187994453434913,1.3970240941162835,1.305063334167771
all_data,t,0.11-0.15,0.13,0.11,0.15,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,59,0.055976387870207804,0.03738509750959712,0.005154126142008924,0.0036060238697072896,1.4972914770608292,0.19966218150117182,94208.67796610169,49631.20338983051,4539.542372881356,1686.915254237288,5453.41868455022,1946.404957008983,0.4036577939399186,49.72914770608292,1.8981743647466174,2.6910316694799454,2.801790380214826
all_data,t,0.15-0.25,0.2,0.15,0.25,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,197,0.06266442172323161,0.040339845288968196,0.003680884274677074,0.0025123882828705663,1.5534125447022613,0.132988911966345,81975.6497461929,43148.36040609137,4863.187817258883,1799.5837563451776,5842.218693135977,2076.4046890346153,0.44045415261278825,55.34125447022613,1.899855497976701,2.7023959291206654,2.8136223752471903
all_data,t,0.25-0.4,0.325,0.25,0.4,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,324,0.06527860482078265,0.04207205880224691,0.0024595726766113764,0.0016914884601493601,1.5515904540734378,0.08549311661883831,48628.20987654321,25613.88888888889,2808.5061728395062,1041.8858024691358,3373.8995653270317,1202.1538636685855,0.43928050425322446,55.159045407343775,1.8985094410102543,2.6955988517971035,2.806545540710554
all_data,t,0.4-0.6,0.5,0.4,0.6,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,330,0.07385009760167952,0.05109463323171309,0.002487283919746127,0.0019002882907389258,1.4453591880534864,0.072521390265369,28641.51818181818,15084.963636363636,1607.7727272727273,585.0030303030303,1931.4409055419237,674.9911088816949,0.3683578637226297,44.53591880534864,1.8986799618644936,2.7483152120424137,2.861431624991146
all_data,t,0.6-0.8,0.7,0.6,0.8,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,250,0.07328954267331599,0.05229457171039968,0.002804791667243259,0.0023251673804253812,1.4014751488774713,0.08221705553673647,18252.316,9606.844,788.68,278.48,947.4528256035578,321.31718002201717,0.3375253596620502,40.14751488774713,1.8999284260262788,2.832088480321746,2.948652871715844
all_data,t,0.8-1,0.9,0.8,1.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,116,0.06032871818955293,0.047084664411120254,0.002942161337167672,0.0032459275369225576,1.2812816857478706,0.10819710070411476,11226.681034482759,5913.646551724138,428.5431034482759,151.11206896551724,514.8151015049802,174.35687973028425,0.2478608939385929,28.12816857478706,1.898436258624485,2.8359290318900108,2.9526514944598508
all_data,t,0.11-0.15,0.13,0.11,0.15,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,74,0.07873023070503918,0.06270186873136757,0.004721307098496031,0.0039367820270623,1.2556281383309582,0.10901735607084391,93067.56756756757,83091.08108108108,6126.824324324324,4116.0675675675675,7357.2594251333785,5290.971783796838,0.22763595600132658,25.56281383309582,1.1200668754899379,1.4885140303819244,1.3905308373906613
all_data,t,0.15-0.25,0.2,0.15,0.25,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,226,0.09062755844441484,0.07400487040037554,0.0033711078871078632,0.0028330266615125372,1.2246161361287236,0.06536660914722033,80116.81415929203,71496.9203539823,6424.920353982301,4464.216814159292,7715.221349237586,5738.497926171149,0.20262743662746457,22.461613612872355,1.1205631482115943,1.4392043714373788,1.3444670449476577
all_data,t,0.25-0.4,0.325,0.25,0.4,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,350,0.07654008071195378,0.06306359276806538,0.0026938811368718714,0.002223667579214533,1.2136967995694774,0.060466650059829506,49854.30285714286,44534.88,3827.577142857143,2676.982857142857,4596.260071942775,3441.1098774111265,0.19367090820611,21.369679956947742,1.1194439696961767,1.429810106046893,1.3356911681648218
all_data,t,0.4-0.6,0.5,0.4,0.6,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,377,0.08755688960435126,0.07606704399948741,0.0023245110306233793,0.0019784041760555968,1.1510489300062887,0.04277938081141573,36741.185676392575,32793.98143236074,2726.3289124668436,1930.7267904509283,3273.8508606525547,2481.839960789502,0.1406736397017697,15.104893000628872,1.1203636786882112,1.4120739018854653,1.3191224705766704
all_data,t,0.6-0.8,0.7,0.6,0.8,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,281,0.08941454489659306,0.07947738262805587,0.00255935896799611,0.002405848401708115,1.1250313226222088,0.046869817421374936,24633.88612099644,21966.701067615657,1671.4519572953736,1147.0106761565837,2007.1255540395457,1474.4172741669859,0.11781087759964526,12.503132262220884,1.1214194632671937,1.4572244112810646,1.361300894398113
all_data,t,0.8-1,0.9,0.8,1.0,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,115,0.07597174392571548,0.07221889838624329,0.002783410421447485,0.003544524752718759,1.0519648682454434,0.0644295415432319,11526.504347826087,10309.04347826087,617.6608695652174,426.46086956521737,741.7041869639435,548.1912992736709,0.05065971855393478,5.196486824544344,1.1180963948917793,1.448341251554758,1.3530024791467294
all_data,phi,0-30,15.0,0.0,30.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,127,0.07008672130220285,0.0457328209415222,0.003783231453389362,0.0025748734104330036,1.532525653552436,0.11953443057575283,100754.07086614173,53128.637795275594,5235.3385826771655,1925.3858267716535,6289.288853714236,2221.5582602438158,0.426917128363448,53.25256535524361,1.8964173569513423,2.7191114164662777,2.831025846256216
all_data,phi,0-45,22.5,0.0,45.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,68,0.09294956556814044,0.061599618494761456,0.007938041299900252,0.005449634976310501,1.5089308641748331,0.185544107967318,68543.58823529411,36095.720588235294,5493.426470588235,2033.8088235294117,6599.333610341676,2346.659422152919,0.4114013630799684,50.89308641748331,1.8989394620268247,2.701053514486728,2.812224708895841
all_data,phi,30-75,52.5,30.0,75.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,66,0.0650579517743382,0.04390569368207576,0.005896776137921333,0.004384580606089849,1.4817657191667994,0.1998359516789451,40191.13636363636,21116.227272727272,2609.8939393939395,982.7575757575758,3135.3037827812104,1133.9302387525863,0.3932344301443369,48.17657191667995,1.9033294084471872,2.6556843760599427,2.764988246746374
all_data,phi,45-90,67.5,45.0,90.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,10,0.042630240237135,0.025620641718232993,0.007633885314501449,0.004922730708324164,1.6639021264950238,0.4370215878466158,34551.3,18142.4,995.5,335.0,1195.9087182234,386.53136780871,0.5091655224570328,66.39021264950237,1.9044503483552342,2.9716417910447763,3.0939499813511686
all_data,phi,60-105,82.5,60.0,105.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,54,0.05102674981614945,0.033137007519415,0.005322484981739034,0.003860882379737831,1.5398719931560758,0.24080818931767387,31943.75925925926,16806.722222222223,1535.5555555555557,566.1851851851852,1844.685360326902,653.2786091426741,0.4316992916435453,53.98719931560758,1.9006537287218628,2.712108327336953,2.8237345207854925
all_data,phi,75-105,90.0,75.0,105.0,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,43,0.05818274489808349,0.03817775220917838,0.006000483873620854,0.004837581266860186,1.5239960849265421,0.248986103237018,24197.74418604651,12726.720930232557,1095.0,377.3720930232558,1315.4395243141698,435.4213471316046,0.4213358883153163,52.39960849265422,1.9013337621448372,2.90164540580514,3.021072652913783
