bin_number,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi_pass2,phi_pass1,pass1_normalized_y,pass1_yerr_stat_plus_31percent_norm,pass2_over_pass1,pass2_yerr_stat_plus_s_comb,pass1_xs,pass1_stat,pass1_norm_frac,pass2_xs,pass2_stat,pass2_s_comb,pass2_n_good_periods
48,0.09,0.118,1,1.2,0.11,0.15,127.5,126.070527204,1,0.3843313373,0.704167100901,0.0625437684375,1.12525692948,0.255635434429,0.31,0.7923689098,0.07037780883,0,2
49,0.09,0.118,1,1.2,0.11,0.15,180,179.969463301,1,0.380230683619,1.0813653449,0.413435564044,0.720397393144,0.158610783812,0.31,0.7790127755,0.05991524147,0.374511410272,2
50,0.09,0.118,1,1.2,0.15,0.25,120,119.27310603,1,0.38434716449,0.601060228072,0.142165270756,0.767488353504,0.174378256806,0.31,0.4613067248,0.04310898052,0.217280541483,2
51,0.09,0.118,1,1.2,0.15,0.25,142.5,142.382188143,1,0.358094479522,0.719756779966,0.317408931482,0.566218714076,0.101496431986,0.31,0.4075397584,0.05048800761,0.423236191141,2
52,0.09,0.118,1,1.2,0.15,0.25,157.5,157.448118232,1,0.355478898364,0.806594117624,0.248781314622,0.565300573036,0.0983448309903,0.31,0.4559681169,0.04129463855,0.294838533303,2
53,0.09,0.118,1,1.2,0.15,0.25,172.5,172.479472045,1,0.382895018414,0.656533298019,0.070648077287,0.588545891222,0.132270494331,0.31,0.386399975,0.04157963561,0,2
54,0.09,0.118,1,1.2,0.15,0.25,195,195.149006761,1,0.371335783768,1.18766362004,0.097002296507,0.381453814831,0.0779793339638,0.31,0.4530388186,0.03700189605,0,2
55,0.09,0.118,1,1.2,0.25,0.4,135,134.530616748,1,0.377410214194,1.35730454452,0.42775489045,0.199268209918,0.0428952164363,0.31,0.2704676469,0.02459209648,0.301748989655,2
56,0.09,0.118,1,1.2,0.25,0.4,157.5,157.476792876,1,0.381542246385,1.15288957144,0.269138688914,0.194215184912,0.0431990132846,0.31,0.2239086613,0.02368436992,0.208107604257,2
57,0.09,0.118,1,1.2,0.25,0.4,172.5,172.479790319,1,0.398940754517,1.07693793391,0.132486339225,0.184496208689,0.0463279221688,0.31,0.1986909658,0.02444322729,0,2
58,0.09,0.118,1,1.2,0.25,0.4,195,195.124973572,1,0.394161321969,1.14326574677,0.346973000168,0.170666611547,0.0415471199234,0.31,0.1951172911,0.02397200057,0.277513025841,2
59,0.09,0.118,1,1.2,0.25,0.4,270,271.342798555,1,0.390991482792,0.777836868929,0.0736059934278,0.433576423247,0.103309843592,0.31,0.3372517275,0.03191382336,0,2
60,0.09,0.118,1,1.2,0.4,0.6,142.5,141.798263531,1,0.392032743306,1.29461858218,0.201839665786,0.0979891208472,0.0235152804735,0.31,0.1268585367,0.01271806841,0.119398640295,2
61,0.09,0.118,1,1.2,0.4,0.6,187.5,187.607980044,1,0.404066454686,1.28483001216,0.506944624174,0.0780380969088,0.0202252255493,0.31,0.100265689,0.01317998625,0.372020989302,2
62,0.09,0.118,1,1.2,0.4,0.6,322.5,323.625058305,1,0.387559280214,1.01835679606,0.0771202404085,0.613278673659,0.142647875541,0.31,0.6245365052,0.04729619875,0,2
63,0.09,0.118,1,1.2,0.6,0.8,22.5,20.7629367661,1,0.442285283046,0.37994770907,0.111378160797,2.25892957823,0.712606436005,0.31,0.8582751182,0.04390276831,0.288643284495,2
64,0.09,0.118,1,1.2,0.6,0.8,37.5,36.2955941959,1,0.432515663451,0.560292232715,0.203680616911,0.626488867781,0.188956560998,0.31,0.3510168465,0.02943395499,0.353722391774,2
65,0.09,0.118,1,1.2,0.6,0.8,165,164.117783204,1,0.437382201502,0.549041582474,0.0748393610891,0.0607789640078,0.0187533579814,0.31,0.03337017858,0.004548658834,0,2
66,0.09,0.118,1.2,1.456,0.11,0.15,120,119.178122972,1,0.352525125712,0.592849274008,0.0542124784557,1.48642916106,0.249498647933,0.31,0.881228449,0.08058300887,0,2
67,0.09,0.118,1.2,1.456,0.11,0.15,142.5,142.399171992,1,0.36014233152,1.15621396374,0.269416020683,0.652185836834,0.11955208409,0.31,0.7540663715,0.0711131604,0.213078990915,2
68,0.09,0.118,1.2,1.456,0.11,0.15,165,164.790655298,1,0.348364841683,1.05542779474,0.419104074923,0.677372060852,0.107653288297,0.31,0.7149173004,0.0592528609,0.388348366475,2
69,0.09,0.118,1.2,1.456,0.11,0.15,195,195.148734038,1,0.381319805113,1.1116043013,0.152798755174,0.743222105054,0.165030110838,0.31,0.8261688888,0.07317207903,0.105120808705,2
70,0.09,0.118,1.2,1.456,0.11,0.15,307.5,307.946167968,1,0.418586272282,0.716977255106,0.0790931298762,5.746717069,1.61639601113,0.31,4.12026543,0.4545258395,0,2
71,0.09,0.118,1.2,1.456,0.15,0.25,105,103.887040799,1,0.387772115533,0.564755796739,0.0835968183561,1.06452939956,0.247985576263,0.31,0.6011991492,0.04283331001,0.129748740111,2
72,0.09,0.118,1.2,1.456,0.15,0.25,127.5,127.327501746,1,0.330924029489,0.580735371303,0.0467373339141,0.75686135617,0.087648052462,0.31,0.4395361607,0.03537368193,0,2
73,0.09,0.118,1.2,1.456,0.15,0.25,142.5,142.364389886,1,0.322012823328,0.689447971867,0.0472936345359,0.637792363518,0.0555731232338,0.31,0.4397246515,0.03016351895,0,2
74,0.09,0.118,1.2,1.456,0.15,0.25,157.5,157.425468426,1,0.323652080019,0.850942109238,0.0623693695745,0.449544301013,0.0418116533731,0.31,0.3825361757,0.02803779465,0,2
75,0.09,0.118,1.2,1.456,0.15,0.25,172.5,172.456605652,1,0.330190480911,0.653877211208,0.0541194936942,0.532844618114,0.0605798957262,0.31,0.3484149529,0.02883728095,0,2
76,0.09,0.118,1.2,1.456,0.15,0.25,187.5,187.514859755,1,0.337932293349,0.618876217711,0.0713531011761,0.542106452629,0.0729294077735,0.31,0.335496791,0.03204784458,0.0645608379652,2
77,0.09,0.118,1.2,1.456,0.15,0.25,202.5,202.548476235,1,0.361708524634,0.690572939382,0.0689477648893,0.518054347916,0.0965487879721,0.31,0.3577543138,0.03571868938,0,2
78,0.09,0.118,1.2,1.456,0.25,0.4,120,119.233481738,1,0.358475632074,1.09888770724,0.160204335399,0.218820154613,0.0393905324336,0.31,0.240458778,0.01974485331,0.120463575204,2
79,0.09,0.118,1.2,1.456,0.25,0.4,142.5,142.418269468,1,0.329759164075,0.738976169404,0.13876145722,0.212696350854,0.0239140195793,0.31,0.1571775346,0.01703889798,0.153322597526,2
80,0.09,0.118,1.2,1.456,0.25,0.4,157.5,157.448085818,1,0.326661001613,0.858586311848,0.173422899921,0.206984988286,0.0213178561055,0.31,0.1777144777,0.01552937406,0.182106113017,2
81,0.09,0.118,1.2,1.456,0.25,0.4,172.5,172.473395475,1,0.331184850906,0.994724947714,0.0883762596218,0.197789256067,0.0230519160524,0.31,0.1967459074,0.01708285617,0.0188279777112,2
82,0.09,0.118,1.2,1.456,0.25,0.4,187.5,187.522444064,1,0.350784444607,0.755763349671,0.0883336843689,0.205784867006,0.0337824090455,0.31,0.1555246604,0.01817773549,0,2
83,0.09,0.118,1.2,1.456,0.25,0.4,210,210.359438127,1,0.409243714207,1.42053596616,0.341885447375,0.125896512556,0.03363591468,0.31,0.1788405241,0.01574564831,0.223991518198,2
84,0.09,0.118,1.2,1.456,0.25,0.4,255,256.082444166,1,0.361168077181,0.676886845293,0.227766414616,0.351389777707,0.0651184894668,0.31,0.2378511181,0.01721313602,0.328616721685,2
85,0.09,0.118,1.2,1.456,0.25,0.4,277.5,277.917448977,1,0.34946745881,0.763521420674,0.0938475401536,0.382532422787,0.0617141168461,0.31,0.2920716989,0.02884571873,0.0731700100651,2
86,0.09,0.118,1.2,1.456,0.25,0.4,292.5,293.052487577,1,0.35357404405,0.920766358341,0.096258883728,0.527535412214,0.0897036773824,0.31,0.4857368604,0.04438332364,0.0507936986741,2
87,0.09,0.118,1.2,1.456,0.4,0.6,22.5,20.8308985245,1,0.335673138706,0.774658020263,0.0423143707739,2.28316860568,0.293957014111,0.31,1.768674872,0.09661084292,0,2
88,0.09,0.118,1.2,1.456,0.4,0.6,37.5,36.3965993646,1,0.320182879485,0.805398816828,0.0583561919101,0.776359982577,0.0621916019582,0.31,0.6252794114,0.02571504635,0.0596539051663,2
89,0.09,0.118,1.2,1.456,0.4,0.6,52.5,51.7416725837,1,0.336803528358,1.22510454788,0.0813603834217,0.315932927169,0.0415984420012,0.31,0.3870508659,0.02570442409,0,2
