xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi,pass2_xs,n_valid_periods,ref_value,ref_stat,s_obs,s_stat,s_comb,s_obs_percent,s_stat_percent,s_comb_percent,min_ratio,max_ratio,half_width
0.09,0.118,1,1.2,0.4,0.6,262.5,0.1420369813,2,0.149727226734,0.0170745797791,0.26419550426,0.231990085899,0.12641148886,26.419550426,23.1990085899,12.641148886,0.631271609524,1.06031503129,0.214521710885
0.09,0.118,1,1.2,0.4,0.6,300,0.2462636954,2,0.245131452712,0.0247783334857,0.126559801157,0.159149790632,0,12.6559801157,15.9149790632,0,0.833211904228,1.06493456434,0.115861330057
0.09,0.118,1,1.2,0.4,0.6,322.5,0.6245365052,2,0.625855663638,0.047029997441,0.0276135602079,0.129032320795,0,2.76135602079,12.9032320795,0,0.962357806269,1.01039628135,0.0240192375389
0.09,0.118,1,1.2,0.6,0.8,22.5,0.8582751182,2,0.844470419109,0.0438097709983,0.299753726758,0.0808538868659,0.288643284495,29.9753726758,8.08538868659,28.8643284495,0.60752268024,1.16020657566,0.27634194771
0.09,0.118,1,1.2,0.6,0.8,37.5,0.3510168465,2,0.314429151745,0.0280499964542,0.376146558129,0.127932414774,0.353722391774,37.6146558129,12.7932414774,35.3722391774,0.567383090308,1.30954010376,0.371078506724
0.09,0.118,1,1.2,0.6,0.8,75,0.101735698,2,0.1018080905,0.0100148127883,0.13649944563,0.159098205051,0,13.649944563,15.9098205051,0,0.817606508693,1.06322034201,0.122806916657
0.09,0.118,1,1.2,0.6,0.8,165,0.03337017858,2,0.0327574855572,0.00436060249737,0.10639893637,0.26124076097,0,10.639893637,26.124076097,0,0.973184616822,1.14806215771,0.0874387704454
0.09,0.118,1,1.2,0.6,0.8,270,0.06870197064,2,0.0685232122676,0.00803649773728,0.180564295352,0.187180509059,0,18.0564295352,18.7180509059,0,0.760246314148,1.08789254594,0.163823115898
0.09,0.118,1.2,1.456,0.11,0.15,120,0.881228449,2,0.881247096129,0.0777520431624,0.000128000812481,0.170016438487,0,0.0128000812481,17.0016438487,0,0.999822193877,1.00003396172,0.000105883923374
0.09,0.118,1.2,1.456,0.11,0.15,142.5,0.7540663715,2,0.730303888429,0.0704041225503,0.25790806683,0.145306278483,0.213078990915,25.790806683,14.5306278483,21.3078990915,0.671949332977,1.15942365489,0.243737160955
0.09,0.118,1.2,1.456,0.11,0.15,165,0.7149173004,2,0.650678397287,0.0574195358466,0.408989071613,0.128287204955,0.388348366475,40.8989071613,12.8287204955,38.8348366475,0.50926819867,1.30614771036,0.398439755847
0.09,0.118,1.2,1.456,0.11,0.15,195,0.8261688888,2,0.814207343932,0.0728166803478,0.172875944281,0.137243242779,0.105120808705,17.2875944281,13.7243242779,10.5120808705,0.776274855183,1.0985862252,0.161155685008
0.09,0.118,1.2,1.456,0.11,0.15,307.5,4.12026543,2,4.01830961641,0.43412942484,0.14002134232,0.214145825436,0,14.002134232,21.4145825436,0,0.965675539076,1.19502252176,0.11467349134
0.09,0.118,1.2,1.456,0.15,0.25,105,0.6011991492,2,0.606345153985,0.0427433267417,0.175339845588,0.117937805179,0.129748740111,17.5339845588,11.7937805179,12.9748740111,0.762721618636,1.07202147346,0.154649927411
