,Bin Name,xBmin,xBmax,xBavg,Q2min,Q2max,Q2avg,t_abs_min,t_abs_max,t_abs_avg,phimin,phimax,phiavg,tmin,tcol,P1,P2,maxP1P2,minP1P2,intP1P2,"raw yield, ep->epg, (FD, FD), exp, inbending","raw yield, ep->epg, (CD, FD), exp, inbending","raw yield, ep->epg, (CD, FT), exp, inbending","raw yield, ep->epg, (FD, FD), exp, outbending","raw yield, ep->epg, (CD, FD), exp, outbending","raw yield, ep->epg, (CD, FT), exp, outbending","raw yield, ep->eppi0, (FD, FD), exp, inbending","raw yield, ep->eppi0, (CD, FD), exp, inbending","raw yield, ep->eppi0, (CD, FT), exp, inbending","raw yield, ep->eppi0, (FD, FD), exp, outbending","raw yield, ep->eppi0, (CD, FD), exp, outbending","raw yield, ep->eppi0, (CD, FT), exp, outbending","contamination ratio, inbending","contamination ratio, outbending","signal yield, ep->epg, exp, inbending","signal yield, ep->epg, exp, outbending","signal yield, ep->epg, sim(KM15), inbending","signal yield, ep->epg, sim(KM15), outbending","signal yield, ep->epg, sim(pureBH), inbending","signal yield, ep->epg, sim(pureBH), outbending","signal yield, ep->epg, sim(VGG), inbending","signal yield, ep->epg, sim(VGG), outbending","acceptance, ep->epg, sim(KM15)","acceptance, ep->epg, sim(pureBH)","acceptance, ep->epg, sim(VGG)","acceptance corrected yield, ep->epg, exp","acceptance corrected yield, ep->epg, sim(KM15)","acceptance corrected yield, ep->epg, sim(pureBH)","acceptance corrected yield, ep->epg, sim(VGG)",Frad,Fbin,Frad*Fbin,bin_volume,bin_volume_cube,"cross sections, ep->epg, exp","cross sections, ep->epg, sim(KM15)","cross sections, ep->epg, sim(pureBH)","cross sections, ep->epg, sim(VGG)","cross sections, ep->epg, exp, stat. unc.","cross sections, ep->epg, exp, syst. unc. (up)","cross sections, ep->epg, exp, syst. unc. (down)",valid bin,cross section prefactor,BH2 prefactor,BH2 c0,BH2 c1,BH2 c2,Int prefactor,Int c0 (KM15),Int c1 (KM15),Int c2 (KM15),DVCS2 prefactor,DVCS2 c0 (KM15),DVCS2 c1 (KM15)
1537,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,195,210,202.4957645336747,-0.05714432706781076,1.005082642675356,-0.0836141949622456,0.5435990366397598,-0.005586488814213468,-0.20431606879858008,-102.80625779346072,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1206116267563104,0.0,0.0035510623008159293,0.0,0.07082543893714882,4.7854967826547596e-05,9.001364378646131e-05,1.9469039339915907e-05,0.0,2520.357493363541,39.45026721993488,3637.8497007780325,1.0428758778328497,1.0051170029624767,1.0485608176624368,0.0008578642339402499,0.0008578642339402534,0.0,0.03263027736173876,0.0005949657019074554,0.0569415393748083,0.0,0.0,0.0,0,6.118728171530233e-05,6.3270027934152795,1.7010890389061601,-0.3277043860691993,0.03765882448991943,6.7914634613218725,2.7432908348079392,2.609364481685535,0.0,6.7914634613218725,51.571543864961434,0.0
1538,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,210,225,217.48662900930015,-0.05714432706781076,1.005082642675356,-0.08451902577402688,0.5445038674515411,-0.006207931833690411,-0.20305633799521752,-102.80625779346072,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01860041165890164,0.0,0.0,0.0,0.015137920158745674,7.3337229263857915e-06,0.0,3.897664396889466e-06,0.0,2536.285028164856,45.72783555511575,3883.8439170972497,1.0420213364432447,1.0050706802038654,1.0459992288868147,0.0008578642339402499,0.0008578642339402534,0.0,0.03286465911408725,0.0006932471347822436,0.06037397473570433,0.0,0.0,0.0,0,6.118728171530233e-05,7.230294013057628,1.7010890389061601,-0.3277043860691993,0.03765882448991943,7.761064631645113,2.7432908348079392,2.609364481685535,0.0,7.761064631645113,51.571543864961434,0.0
1539,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,225,240,232.54303838564155,-0.05714432706781076,1.005082642675356,-0.08549273271770683,0.545477574395221,-0.0067208481424096515,-0.20754306324075325,-102.80625779346072,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.3036064029893,57.70428776465218,4251.702749597012,1.0431624266109962,1.0043264525793663,1.0465750614013811,0.0008578642339402499,0.0008578642339402534,0.0,0.03327609230615195,0.0008759987636686633,0.06533963763453661,0.0,0.0,0.0,0,6.118728171530233e-05,8.888204102201087,1.7010890389061601,-0.3277043860691993,0.03765882448991943,9.540680693185811,2.7432908348079392,2.609364481685535,0.0,9.540680693185811,51.571543864961434,0.0
1540,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,240,255,247.50043866268004,-0.05714432706781076,1.005082642675356,-0.08652443766486952,0.5465092793423837,-0.006968178546337746,-0.20602165539885306,-102.80625779346072,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.001426537716568947,0.0,0.0,0.0,0.0,5.457076935791256e-07,0.0,0.0,0.0,2614.105927685816,79.48500853482145,4728.486597926634,1.0393574064343845,1.0050490045614218,1.0440055789913807,0.0008578642339402499,0.0008578642339402534,0.0,0.03395731767467597,0.0012107495600607477,0.0717905250831499,0.0,0.0,0.0,0,6.118728171530233e-05,11.806107746886308,1.7010890389061601,-0.3277043860691993,0.03765882448991943,12.672785519686226,2.7432908348079392,2.609364481685535,0.0,12.672785519686226,51.571543864961434,0.0
1541,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,255,270,262.5450891782693,-0.05714432706781076,1.005082642675356,-0.08762689037813542,0.5476117320556496,-0.007425995790352875,-0.20647100670855936,-102.80625779346072,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.02588075522094142,0.0,0.0026324243428957955,0.0,0.02604339657337791,9.617418898032967e-06,2.1891777633040207e-05,4.8885034466280545e-06,0.0,2691.029214318071,120.24717165602871,5327.478410870688,1.0343221095578548,1.0055516986380313,1.03958602276649,0.0008578642339402499,0.0008578642339402534,0.0,0.03512105976424343,0.0018394283229783866,0.07947865971241933,0.0,0.0,0.0,0,6.118728171530233e-05,17.185115047500492,1.7010890389061601,-0.3277043860691993,0.03765882448991943,18.44666182938601,2.7432908348079392,2.609364481685535,0.0,18.44666182938601,51.571543864961434,0.0
1542,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,270,285,277.5946202226987,-0.05714432706781076,1.005082642675356,-0.0887946270147641,0.5487794686922782,-0.008067275839447644,-0.20881268455320387,-102.80625779346072,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.023495312632604796,0.0,0.00502885586394249,0.0,0.11460133746310239,8.249766996073733e-06,2.4600396518902522e-05,1.89364951407659e-05,0.0,2847.997118438229,204.42174011619704,6051.876897557046,1.0288031272368854,1.0054518939301045,1.0333681704290463,0.0008578642339402499,0.0008578642339402534,0.0,0.03722571553827767,0.003129505190019749,0.08869180994060726,0.0,0.0,0.0,0,6.118728171530233e-05,27.816138370585946,1.7010890389061601,-0.3277043860691993,0.03765882448991943,29.858100833385908,2.7432908348079392,2.609364481685535,0.0,29.858100833385908,51.571543864961434,0.0
1543,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,285,300,292.68025479109684,-0.05714432706781076,1.005082642675356,-0.09003031105439631,0.5500151527319105,-0.008274585770793772,-0.20870314344226845,-102.80625779346072,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0022564757845219847,0.0,0.0,0.0,0.012178247655594472,7.171443036909601e-07,0.0,1.7585514874038861e-06,0.0,3146.473830871242,394.59252373028903,6925.158428868621,1.020711711037941,1.0066916256627474,1.028460537245698,0.0008578642339402499,0.0008578642339402534,0.0,0.041450291087003155,0.006031149129045868,0.09973425753307828,0.0,0.0,0.0,0,6.118728171530233e-05,51.33246218523983,1.7010890389061601,-0.3277043860691993,0.03765882448991943,55.10074085530134,2.7432908348079392,2.609364481685535,0.0,55.10074085530134,51.571543864961434,0.0
1544,80,0.204,0.268,0.23223313478863802,1.2,1.456,1.3105599537504709,0.6,0.8,0.7077222409156702,300,360,345.80038230256184,-0.05714432706781076,1.005082642675356,-0.09490025079952212,0.5548850924770363,-0.008949535132439162,-0.21747935785670386,-102.80625779346072,0,0,0,0,3,1,0,0,0,0,1,0,0.0,0.1642107201868829,0.0,3.390890655637522,0.0,0.9462371521632698,0.0,0.22319721708390614,0.0,0.7267965828100169,1.4159897536214388e-05,4.617624485795209e-06,1.971062563605957e-05,239471.41191983988,66825.14119493013,48335.93934944429,36873.339092818045,0.9615101034483972,0.6791972425456663,0.6540536551755299,0.0034314569357609998,0.0034314569357610136,1.2892638177832618,0.3480388989115129,0.1826802243887341,0.14307533578651332,1.3549439394005867,2.3148271757991847,2.3148271757991847,0,6.118728171530233e-05,2278.94557361156,1.7010890389061601,-0.3277043860691993,0.03765882448991943,2446.2413087017976,2.7432908348079392,2.609364481685535,0.0,2446.2413087017976,51.571543864961434,0.0
1545,81,0.204,0.268,0.2261819508437537,1.2,1.456,1.2692846329794332,0.8,1.0,0.9455351165025737,0,15,2.5008919444522384,-0.05388237688564697,0.9734182210554053,-0.0006429659472945375,0.2557075181091778,-2.3601461574132595e-07,-0.045223781814185904,-129.84859926126344,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.041813455172945636,0.0,0.03241467608607502,0.0,0.0,6.04750761591121e-08,1.5522395648851422e-07,0.0,0.0,691416.329314459,208825.21499491308,185882.51772536838,0.9962732263979525,0.241374526835935,0.21378105766918787,0.0008578642339402499,0.000857864233940253,0.0,20.98125143905689,3.712863076121399,0.8111199150798785,0.0,0.0,0.0,0,6.29062785258451e-05,187746.00500963174,1.0695518281950338,-0.2047747364018683,0.034863169439551714,196351.8787330393,2.7309204034732795,2.2877570403981835,0.0,196351.8787330393,35.78719690921844,0.0
1546,81,0.204,0.268,0.2261819508437537,1.2,1.456,1.2692846329794332,0.8,1.0,0.9455351165025737,15,30,20.64401969742704,-0.05388237688564697,0.9734182210554053,-0.0007136351166343705,0.25577818727851764,-8.467331207666625e-06,-0.045761528955735896,-129.84859926126344,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04635779023518636,0.0,0.07915505122558102,0.0,2.447664035420836,3.329765937653195e-06,9.729682202315783e-06,0.0002723162241064309,0.0,13922.236908897909,8135.420004441785,8988.315123171662,0.9944934768799214,0.8176067069625432,0.8127573002421798,0.0008578642339402499,0.000857864233940253,0.0,0.2315640421722214,0.12087676798138283,0.13684675906980973,0.0,0.0,0.0,0,6.29062785258451e-05,1746.7146943813248,1.0695518281950338,-0.2047747364018683,0.034863169439551714,1826.7803452583962,2.7309204034732795,2.2877570403981835,0.0,1826.7803452583962,35.78719690921844,0.0
1547,81,0.204,0.268,0.2261819508437537,1.2,1.456,1.2692846329794332,0.8,1.0,0.9455351165025737,30,45,36.586799584870356,-0.05388237688564697,0.9734182210554053,-0.0008671858304105475,0.25593173799229385,-3.3152526208347204e-05,-0.0459576294200928,-129.84859926126344,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07347957976835343,0.0,0.04165401818614644,0.0,0.11069256803619115,1.6702967897991807e-05,2.6757365812668797e-05,1.5215834141204276e-05,0.0,4399.193018696267,1556.7309008581306,7274.827459931175,1.0056811299735438,0.9650634103487529,0.9670233845662054,0.0008578642339402499,0.000857864233940253,0.0,0.061657519064239705,0.023459497544163033,0.10300158593400915,0.0,0.0,0.0,0,6.29062785258451e-05,287.12384604419736,1.0695518281950338,-0.2047747364018683,0.034863169439551714,300.28498660699495,2.7309204034732795,2.2877570403981835,0.0,300.28498660699495,35.78719690921844,0.0
1548,81,0.204,0.268,0.2261819508437537,1.2,1.456,1.2692846329794332,0.8,1.0,0.9455351165025737,45,60,52.080467656333795,-0.05388237688564697,0.9734182210554053,-0.0010983751250437939,0.2561629272869271,-7.452044823404494e-05,-0.046010200906222175,-129.84859926126344,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.03368977233734415,0.0,0.0017647882848239598,0.0,0.09687421884734623,1.2455023878365863e-05,3.7216704587288834e-06,1.5131144356373714e-05,0.0,2704.914311393866,474.19251768645677,6402.3061683725045,1.0181610907484213,0.9914367184183527,1.0081305974985137,0.0008578642339402499,0.000857864233940253,0.0,0.03624518390171737,0.007213991282526998,0.09014942255126497,0.0,0.0,0.0,0,6.29062785258451e-05,86.16733833263854,1.0695518281950338,-0.2047747364018683,0.034863169439551714,90.11706409503108,2.7309204034732795,2.2877570403981835,0.0,90.11706409503108,35.78719690921844,0.0
1549,81,0.204,0.268,0.2261819508437537,1.2,1.456,1.2692846329794332,0.8,1.0,0.9455351165025737,60,75,67.33454034014933,-0.05388237688564697,0.9734182210554053,-0.001404912999235544,0.25646946516111885,-0.00013562938901779022,-0.04550568002362499,-129.84859926126344,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000402694079840707,0.0,0.009080884493872718,0.0,2.0927354986395007e-06,1.6413895682436966e-06,0.0,2196.8415874129523,192.42473791002288,5532.437070127938,1.0280400127598812,0.9891974992422979,1.0170251120352047,0.0008578642339402499,0.000857864233940253,0.0,0.029219236236174853,0.0029266879250779434,0.07909948286077546,0.0,0.0,0.0,0,6.29062785258451e-05,35.964845167886494,1.0695518281950338,-0.2047747364018683,0.034863169439551714,37.613396443216466,2.7309204034732795,2.2877570403981835,0.0,37.613396443216466,35.78719690921844,0.0
1550,81,0.204,0.268,0.2261819508437537,1.2,1.456,1.2692846329794332,0.8,1.0,0.9455351165025737,75,90,82.41560409791481,-0.05388237688564697,0.9734182210554053,-0.0017849491773335015,0.2568495013392168,-0.00020530732763227507,-0.04550817380820861,-129.84859926126344,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0014453061424082386,0.0,8.878575608670243e-05,0.0,0.009549729254287277,7.215773123969268e-07,9.346896319201052e-07,1.994184291689177e-06,0.0,2002.9816868926187,94.9895591591323,4788.789729257251,1.0383089520940916,0.985690527697583,1.0231408688318069,0.0008578642339402499,0.000857864233940253,0.0,0.026515158985578446,0.0014460991401599422,0.07011785562269687,0.0,0.0,0.0,0,6.29062785258451e-05,18.593473012583377,1.0695518281950338,-0.2047747364018683,0.034863169439551714,19.445757889791125,2.7309204034732795,2.2877570403981835,0.0,19.445757889791125,35.78719690921844,0.0
