campaign_key,campaign_label,iq2,ixb,it,iphi,Q2_low_GeV2,Q2_high_GeV2,Q2_flux_coordinate_GeV2,xB_low,xB_high,xB_flux_coordinate,beam_energy_GeV,virtual_photon_epsilon,minus_t_low_GeV2,minus_t_high_GeV2,minus_t_center_GeV2,phi_low_deg,phi_high_deg,phi_center_deg,reduced_cross_section_nb_per_GeV2_rad,propagated_statistical_and_finite_MC_uncertainty_nb_per_GeV2_rad,relative_uncertainty,combination_contributor_count,torus_plus1_BLUE_weight,torus_minus1_BLUE_weight
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,16,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,288,306,297,69.62699428738115,19.99835342215234,0.2872212656431838,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,3,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,54,72,63,52.92421599705839,20.49370971655125,0.3872274596885918,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,4,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,72,90,81,62.25943988331289,8.374846689648733,0.1345152912609708,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,5,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,90,108,99,65.2502240754187,6.317947934592683,0.09682645575730371,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,6,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,108,126,117,58.73669016779257,5.262651592758421,0.08959734669632646,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,7,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,126,144,135,38.00129794777546,3.277143626684904,0.08623767617591976,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,8,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,144,162,153,28.07985580641761,2.714406073445493,0.09666737935403215,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,9,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,162,180,171,18.45053456695342,2.158843299852735,0.1170070868146779,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,10,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,180,198,189,17.28409872478895,3.158890414791994,0.1827628078900924,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,11,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,198,216,207,25.81930611732092,3.566509746732998,0.1381334467520953,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,12,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,216,234,225,30.00265961439963,4.010745534118227,0.1336796665917341,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,2,13,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.2,0.3,0.25,234,252,243,40.43342987432774,3.942874154337716,0.09751520379529197,,,
