group,period,stage,stage label,valid bins,median ratio,median ratio stat unc,p16,p84,median abs frac dev,frac outside 10pct,frac outside 20pct,all-period valid bins,median ratio to all periods,median ratio to all periods stat unc,all-period p16,all-period p84
inbending,Sp19 Inb,normalized_raw_eppi0,eff. corr. raw epπ0 / L,1265,1.0784719357821424,0.011334560315723533,0.8958500668379886,1.5393208985647522,0.1564877526660272,0.6482213438735178,0.42134387351778657,1265,1.032398357943009,0.012452534936766957,0.8299618214555142,1.5369008459673372
inbending,Fa18 Inb,signal_over_lumi,signal / L,1269,0.9167459084593795,0.0053080237644012465,0.7672300091924623,1.0690462421595517,0.11894852155033142,0.5713159968479118,0.2568951930654058,1269,0.8328066116024649,0.006821680175790553,0.6393279804374753,1.0272112877752342
inbending,Sp18 Inb,signal_over_lumi,signal / L,1259,0.9325270086361016,0.008974476521865761,0.7339403768094525,1.2422179122931043,0.17463007405840592,0.6942017474185862,0.44082605242255757,1259,0.8560919055655876,0.009880479819281099,0.6292739393546034,1.1888637850357746
inbending,Sp19 Inb,signal_over_lumi,signal / L,1270,1.1668753048237597,0.009987400156578709,0.968165506573331,1.5362765556653464,0.18768261548763476,0.7,0.48503937007874015,1270,1.064963086043909,0.010125702808299551,0.8660200107825942,1.4419980986764522
inbending,Fa18 Inb,acceptance,acceptance,1276,1.0859621124836307,0.003090057753796391,0.9901891100772001,1.1663748920826789,0.094156517360521,0.46316614420062696,0.09717868338557993,1276,0.9915840792453396,0.006067901727999146,0.8112282062333289,1.1572016786600092
inbending,Sp18 Inb,acceptance,acceptance,1276,0.6916247353775407,0.002969855451798967,0.6163045665947261,0.7856367755398774,0.31014707239212574,0.9459247648902821,0.8659874608150471,1276,0.637593027600267,0.0049658341274325165,0.49245121118660873,0.7755881098339864
inbending,Sp19 Inb,acceptance,acceptance,1276,1.1557780810453233,0.004416993496206052,1.0601014367892905,1.3119450964380721,0.15606325166347879,0.7163009404388715,0.3730407523510972,1276,1.049695134005991,0.004592937685468154,0.9548340935399523,1.2167095606966611
inbending,Fa18 Inb,acceptance_corrected_over_lumi,acc.-corr. / L,1269,0.861426544563824,0.004378493029579599,0.7489764600319446,0.9979392248792193,0.15260425031675984,0.6887312844759653,0.32702915681639083,1269,0.8234039131309557,0.005344949860148328,0.6519940487885522,0.9559099134851207
inbending,Sp18 Inb,acceptance_corrected_over_lumi,acc.-corr. / L,1259,1.3479344801187771,0.01615424345021199,1.005422748069254,1.9203328298407614,0.3752964161710848,0.8546465448768864,0.7251787132644957,1259,1.2767721044171223,0.014645587402552805,0.9408371398010317,1.770303131777617
inbending,Sp19 Inb,acceptance_corrected_over_lumi,acc.-corr. / L,1270,1.041760685620299,0.00608590173607063,0.9015113374756195,1.2476943246139256,0.10948931517725202,0.5330708661417323,0.24330708661417322,1270,0.9779633042435483,0.006468490771277185,0.80488850599374,1.1728342196429216
inbending,Fa18 Inb,cross_section,cross section,1269,0.837260516427692,0.0036714035063494933,0.745775849167642,0.9545332370716054,0.1701022899908713,0.7832939322301025,0.3561859732072498,1269,0.8117072340731231,0.0048013041401610765,0.651152437800724,0.9241564018431058
inbending,Sp18 Inb,cross_section,cross section,1259,1.324121593457445,0.015468055790840866,0.9874414882085032,1.8634887158029803,0.34793448054518494,0.8316123907863384,0.6767275615567911,1259,1.2558400928811297,0.014315519405623258,0.9286266922958218,1.739398986917177
inbending,Sp19 Inb,cross_section,cross section,1270,1.0879353470234228,0.005718741693045582,0.9457487867476696,1.2710466912861529,0.11715926342832567,0.5645669291338583,0.27716535433070866,1270,1.0304152732335567,0.007015590302436812,0.8402357469954826,1.2393020008985873
inbending,Fa18 Inb,normed_cross_section,normed xsec,1269,0.837260516427692,0.0036714035063494933,0.745775849167642,0.9545332370716054,0.1701022899908713,0.7832939322301025,0.3561859732072498,1269,0.8117072340731231,0.0048013041401610765,0.651152437800724,0.9241564018431058
inbending,Sp18 Inb,normed_cross_section,normed xsec,1259,1.324121593457445,0.015468055790840866,0.9874414882085032,1.8634887158029803,0.34793448054518494,0.8316123907863384,0.6767275615567911,1259,1.2558400928811297,0.014315519405623258,0.9286266922958218,1.739398986917177
inbending,Sp19 Inb,normed_cross_section,normed xsec,1270,1.0879353470234228,0.005718741693045582,0.9457487867476696,1.2710466912861529,0.11715926342832567,0.5645669291338583,0.27716535433070866,1270,1.0304152732335567,0.007015590302436812,0.8402357469954826,1.2393020008985873
inbending,Fa18 Inb,contamination_ratio,π0 contam.,1227,1.0118841909476206,0.015261688437802876,0.8059019783696327,1.6592059939010735,0.2020782317639429,0.7579462102689487,0.508557457212714,1227,1.2707300003685404,0.024965752548181966,0.7875068704126614,2.1833797443051703
inbending,Sp19 Inb,contamination_ratio,π0 contam.,1224,0.9996942055226332,0.012750664864761544,0.8354364657321516,1.5474733064700803,0.15601508357473753,0.6813725490196079,0.38480392156862747,1224,1.2100434193112604,0.02528766138469532,0.7762516713213913,2.188393446906025
outbending,Sp18 Out,contamination_ratio,π0 contam.,1129,1.2821474086929439,0.049191891599091216,0.7362502969633266,3.374521387718258,0.3898814223375615,0.887511071744907,0.7537643932683791,1129,1.403834273540625,0.05959473377615915,0.6632462033627575,3.859444970514492
inbending,Sp18 Inb,contamination_ratio,π0 contam.,919,1.4672540061920458,0.056409118372739535,0.8150551170493266,3.5445733046251204,0.521198226642047,0.8911860718171926,0.766050054406964,919,1.8830278116292387,0.07085370278856636,0.9255037798850639,4.353964922293966
