group,period,stage,stage label,ratio_to_group,ratio_to_all,abs_frac_dev,abs_frac_dev_all,bin index,xB index,Q2 index,t_abs index,phi index,xBavg,Q2avg,t_abs_avg,phiavg
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.533802180387077,18.636167936380577,8.533802180387077,17.636167936380577,1121,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,9.458175607145492,7.7206452264314835,8.458175607145492,6.7206452264314835,1163,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,9.428998948509799,20.731522218399242,8.428998948509799,19.731522218399242,1604,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.377594072344507,8.585537684541938,8.377594072344507,7.585537684541938,315,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.34368749905517,10.620946596156559,8.34368749905517,9.620946596156559,648,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,9.340704057529367,6.384151348384797,8.340704057529367,5.384151348384797,336,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,9.264773056899196,16.976791730994798,8.264773056899196,15.976791730994798,1866,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.09666605938361,8.39351481893349,8.09666605938361,7.39351481893349,1135,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.90881613487006,8.385381976002984,7.90881613487006,7.385381976002984,1098,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,8.78404684938296,10.086838434086873,7.78404684938296,9.086838434086873,1311,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.777115757280452,11.5241435865949,7.777115757280452,10.5241435865949,1578,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,8.752799512209311,7.946913916950144,7.752799512209311,6.946913916950144,1821,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.601643762437106,7.870245491785637,7.6016437624371065,6.870245491785637,1720,,,,,,,,
