# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
322.982902 1.093706 0.211321 -0.392060 6.535 -0.168581 0.071113
337.804833 1.097691 0.217745 -0.384638 6.535 -0.166585 0.097184
352.289507 1.096379 0.227715 -0.382117 6.535 -0.100482 0.037256
6.029845 1.099353 0.239405 -0.529839 6.535 0.094211 0.130186
23.827819 1.093840 0.218412 -0.543741 6.535 0.133112 0.228713
36.920004 1.099956 0.212895 -0.537119 6.535 0.165301 0.081602
51.387156 1.095151 0.211381 -0.539256 6.535 0.122006 0.063955
68.028167 1.095067 0.212498 -0.543524 6.535 0.205487 0.070300
86.873522 1.097933 0.216222 -0.542702 6.535 0.015398 0.087830
104.743440 1.091516 0.223252 -0.542312 6.535 0.004091 0.090466
124.044200 1.078651 0.230463 -0.539596 6.535 -0.070650 0.186412
142.298077 1.087684 0.224249 -0.548894 6.535 0.124596 0.161046
169.059694 1.114429 0.212598 -0.544772 6.535 0.031485 0.195997
190.544072 1.102830 0.214346 -0.545952 6.535 -0.077411 0.208027
218.732351 1.091718 0.226636 -0.558845 6.535 -0.274741 0.397574
237.512422 1.090958 0.229634 -0.555814 6.535 0.091217 0.182356
255.541016 1.084010 0.221622 -0.550273 6.535 -0.108152 0.137990
273.363801 1.095110 0.218451 -0.535884 6.535 0.019102 0.095737
291.470819 1.097006 0.216954 -0.540867 6.535 -0.047474 0.069050
307.859345 1.092260 0.210447 -0.544519 6.535 -0.124225 0.057960
323.051600 1.093412 0.207638 -0.544734 6.535 -0.132249 0.064617
336.120424 1.090046 0.218508 -0.546475 6.535 -0.142146 0.135452
351.758340 1.109791 0.239894 -0.518249 6.535 -0.004252 0.336864
14.377181 1.155007 0.255911 -0.731900 6.535 0.326277 1.379652
23.438382 1.098254 0.226148 -0.710394 6.535 0.134175 0.106148
36.669253 1.100711 0.218828 -0.706073 6.535 0.070296 0.050346
51.811665 1.099892 0.215414 -0.709914 6.535 0.058842 0.071138
69.271247 1.097109 0.216684 -0.711749 6.535 0.035226 0.063055
86.986986 1.089562 0.218196 -0.711086 6.535 0.051629 0.087742
105.153489 1.082947 0.229538 -0.714973 6.535 0.038899 0.134899
122.300986 1.096808 0.283840 -0.721361 6.535 0.066617 0.337780
143.108461 1.094827 0.232839 -0.727802 6.535 0.018225 0.185548
166.725689 1.101502 0.212990 -0.723121 6.535 0.078151 0.181110
192.261099 1.082890 0.210962 -0.740979 6.535 -0.197254 0.285660
214.867465 1.084965 0.227163 -0.724183 6.535 -0.005465 0.153320
235.527063 1.114637 0.277704 -0.732443 6.535 -0.228591 0.597306
255.014813 1.099854 0.232307 -0.724132 6.535 -0.198623 0.209199
272.455596 1.092051 0.220998 -0.705606 6.535 -0.052763 0.092839
291.781724 1.092820 0.214252 -0.723143 6.535 -0.084863 0.069767
308.095092 1.101236 0.210361 -0.715076 6.535 0.011404 0.057459
322.853480 1.097260 0.210034 -0.718341 6.535 -0.055862 0.047971
336.042295 1.092250 0.219587 -0.720050 6.535 -0.109813 0.079000
346.822519 1.083548 0.220419 -0.748134 6.535 0.265895 0.773357
7.454276 1.099853 0.211948 -1.322362 6.535 -0.021768 0.045823
21.766587 1.096549 0.214270 -1.164636 6.535 0.037928 0.078648
36.030810 1.100514 0.210784 -1.159705 6.535 -0.078291 0.052875
51.630014 1.093015 0.212999 -1.185108 6.535 -0.048852 0.088813
68.090103 1.095931 0.218125 -1.249418 6.535 -0.149356 0.303745
87.661701 1.063839 0.260120 -1.315436 6.535 0.136490 1.274667
122.072414 0.980612 0.400266 -2.617035 6.535 -0.674250 14.070510
121.649565 1.088921 0.251086 -1.039366 6.535 -0.023160 0.319211
143.575660 1.087287 0.208792 -1.098433 6.535 0.191141 0.227658
167.389940 1.094018 0.192006 -1.078246 6.535 -0.034009 0.155673
189.068906 1.078603 0.198796 -1.101823 6.535 0.215866 0.559737
217.031992 1.076276 0.209346 -1.043032 6.535 -0.272708 0.366880
237.023933 1.055692 0.271884 -1.148054 6.535 -0.161893 0.572139
273.722316 1.093675 0.225739 -1.232379 6.535 0.081336 0.375558
291.640011 1.097808 0.224136 -1.176986 6.535 0.051320 0.128694
308.150355 1.099189 0.214673 -1.099852 6.535 0.014689 0.068363
323.354575 1.103440 0.212644 -1.112350 6.535 0.021157 0.049992
338.486526 1.098257 0.213326 -1.190149 6.535 0.034213 0.073804
350.893625 1.097467 0.213575 -1.300823 6.535 -0.040171 0.032131
6.820851 1.291886 0.218377 -0.213375 6.535 -0.021919 0.086624
22.587051 1.295249 0.217080 -0.216596 6.535 0.133928 0.035409
37.540229 1.295872 0.210027 -0.230179 6.535 0.245914 0.045507
52.112011 1.297734 0.207061 -0.228511 6.535 0.305327 0.071035
68.332832 1.300041 0.207652 -0.228503 6.535 0.299540 0.049010
85.797382 1.294104 0.206576 -0.233192 6.535 0.236714 0.048736
103.947226 1.302587 0.199432 -0.236660 6.535 0.269262 0.068980
