# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
278.07 1.27 0.154 0.45 5.75 -0.0582 0.0236
293.19 1.27 0.154 0.45 5.75 -0.0477 0.0406
308.35 1.27 0.154 0.45 5.75 -0.0526 0.062
318.91 1.27 0.154 0.45 5.75 -0.2229 0.1072
68.41 1.39 0.155 0.11 5.75 0.3301 0.3406
82.12 1.39 0.155 0.11 5.75 1.1023 0.2058
97.15 1.39 0.155 0.11 5.75 0.3994 0.1851
112.22 1.39 0.155 0.11 5.75 0.2436 0.1974
127.28 1.39 0.155 0.11 5.75 0.1845 0.1777
142.34 1.39 0.155 0.11 5.75 0.2856 0.148
157.4 1.39 0.155 0.11 5.75 -0.0111 0.1316
172.47 1.39 0.155 0.11 5.75 0.1497 0.1544
187.53 1.39 0.155 0.11 5.75 -0.2069 0.1491
202.6 1.39 0.155 0.11 5.75 -0.0095 0.1375
217.66 1.39 0.155 0.11 5.75 -0.3624 0.1652
232.72 1.39 0.155 0.11 5.75 -0.116 0.187
247.78 1.39 0.155 0.11 5.75 -0.2182 0.1514
262.85 1.39 0.155 0.11 5.75 -0.847 0.186
277.88 1.39 0.155 0.11 5.75 -0.7745 0.2069
291.59 1.39 0.155 0.11 5.75 -0.8951 0.3306
68.06 1.39 0.155 0.15 5.75 0.4206 0.2193
82.05 1.39 0.155 0.15 5.75 0.2613 0.1298
97.13 1.39 0.155 0.15 5.75 0.3798 0.1187
112.2 1.39 0.155 0.15 5.75 0.1055 0.1235
127.27 1.39 0.155 0.15 5.75 0.1102 0.1092
142.33 1.39 0.155 0.15 5.75 0.209 0.079
157.4 1.39 0.155 0.15 5.75 0.0257 0.0849
172.47 1.39 0.155 0.15 5.75 0.0896 0.0977
187.53 1.39 0.155 0.15 5.75 -0.0216 0.1094
202.6 1.39 0.155 0.15 5.75 -0.1042 0.0866
217.67 1.39 0.155 0.15 5.75 -0.0516 0.0923
232.73 1.39 0.155 0.15 5.75 -0.1693 0.1195
247.8 1.39 0.155 0.15 5.75 -0.2114 0.1069
262.87 1.39 0.155 0.15 5.75 -0.4092 0.1064
277.95 1.39 0.155 0.15 5.75 -0.3039 0.1455
291.94 1.39 0.155 0.15 5.75 -0.4517 0.2099
67.32 1.39 0.155 0.2 5.75 0.2645 0.1698
82.02 1.39 0.155 0.2 5.75 0.2797 0.1092
97.11 1.39 0.155 0.2 5.75 0.1424 0.0932
112.19 1.39 0.155 0.2 5.75 0.146 0.0801
127.26 1.39 0.155 0.2 5.75 0.0659 0.0795
142.33 1.39 0.155 0.2 5.75 0.2152 0.0666
157.4 1.39 0.155 0.2 5.75 0.0396 0.058
172.47 1.39 0.155 0.2 5.75 0.1611 0.0705
187.53 1.39 0.155 0.2 5.75 -0.0012 0.0625
202.6 1.39 0.155 0.2 5.75 0.1007 0.059
217.67 1.39 0.155 0.2 5.75 0.0164 0.0705
232.74 1.39 0.155 0.2 5.75 0.019 0.0898
247.81 1.39 0.155 0.2 5.75 -0.0901 0.086
262.89 1.39 0.155 0.2 5.75 -0.2744 0.0943
277.98 1.39 0.155 0.2 5.75 -0.3839 0.1048
292.68 1.39 0.155 0.2 5.75 -0.3888 0.1733
66.92 1.39 0.155 0.26 5.75 0.3559 0.1198
82 1.39 0.155 0.26 5.75 0.0598 0.0783
97.09 1.39 0.155 0.26 5.75 -0.0337 0.0482
112.18 1.39 0.155 0.26 5.75 0.0459 0.0544
127.25 1.39 0.155 0.26 5.75 0.0242 0.0507
142.32 1.39 0.155 0.26 5.75 0.0508 0.044
157.39 1.39 0.155 0.26 5.75 -0.0129 0.0397
172.46 1.39 0.155 0.26 5.75 -0.0375 0.0439
187.54 1.39 0.155 0.26 5.75 0.0665 0.0424
202.61 1.39 0.155 0.26 5.75 -0.0795 0.0442
217.68 1.39 0.155 0.26 5.75 -0.0817 0.0367
232.75 1.39 0.155 0.26 5.75 -0.0802 0.051
247.82 1.39 0.155 0.26 5.75 -0.0818 0.0476
262.91 1.39 0.155 0.26 5.75 -0.1878 0.0598
278 1.39 0.155 0.26 5.75 -0.0735 0.0737
293.08 1.39 0.155 0.26 5.75 -0.2878 0.1112
54.08 1.39 0.155 0.34 5.75 0.2125 0.1032
66.88 1.39 0.155 0.34 5.75 0.0025 0.075
81.99 1.39 0.155 0.34 5.75 0.042 0.0513
97.08 1.39 0.155 0.34 5.75 0.0665 0.0384
112.17 1.39 0.155 0.34 5.75 -0.002 0.0388
127.25 1.39 0.155 0.34 5.75 -0.0581 0.0363
142.32 1.39 0.155 0.34 5.75 0.0654 0.0319
157.39 1.39 0.155 0.34 5.75 -0.0355 0.0287
172.46 1.39 0.155 0.34 5.75 -0.0175 0.031
187.54 1.39 0.155 0.34 5.75 -0.0767 0.034
202.61 1.39 0.155 0.34 5.75 0.036 0.0318
217.68 1.39 0.155 0.34 5.75 -0.0047 0.0275
232.75 1.39 0.155 0.34 5.75 -0.0093 0.0343
247.83 1.39 0.155 0.34 5.75 -0.0807 0.0355
262.92 1.39 0.155 0.34 5.75 -0.001 0.0373
278.01 1.39 0.155 0.34 5.75 -0.1002 0.0459
293.12 1.39 0.155 0.34 5.75 -0.1415 0.0658
305.92 1.39 0.155 0.34 5.75 -0.1748 0.1185
51.97 1.39 0.155 0.45 5.75 0.1602 0.0508
66.88 1.39 0.155 0.45 5.75 0.1271 0.0404
81.98 1.39 0.155 0.45 5.75 0.0544 0.0274
97.08 1.39 0.155 0.45 5.75 0.015 0.0219
112.16 1.39 0.155 0.45 5.75 0.0027 0.0199
127.24 1.39 0.155 0.45 5.75 0.0277 0.0213
142.32 1.39 0.155 0.45 5.75 0.0302 0.021
157.39 1.39 0.155 0.45 5.75 -0.0272 0.0196
172.46 1.39 0.155 0.45 5.75 -0.0238 0.0197
187.54 1.39 0.155 0.45 5.75 -0.0179 0.0212
