# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
103.91632 1.62764 0.10442 -0.12938 10.60410 1.16148 0.26352
142.40853 1.62764 0.10442 -0.12938 10.60410 0.74627 0.11517
179.98381 1.62764 0.10442 -0.12938 10.60410 0.71756 0.14306
271.33808 1.62764 0.10442 -0.12938 10.60410 1.49174 0.24205
292.89839 1.62764 0.10442 -0.12938 10.60410 2.75855 0.31509
307.99857 1.62764 0.10442 -0.12938 10.60410 3.88449 0.37931
323.04614 1.62764 0.10442 -0.12938 10.60410 6.13577 0.64215
338.05383 1.62764 0.10442 -0.12938 10.60410 7.69103 1.24424
36.70842 1.62492 0.10329 -0.20138 10.60410 3.82768 0.34554
51.85236 1.62492 0.10329 -0.20138 10.60410 1.90085 0.16409
67.00579 1.62492 0.10329 -0.20138 10.60410 1.43441 0.10970
82.12970 1.62492 0.10329 -0.20138 10.60410 1.36170 0.14888
97.17939 1.62492 0.10329 -0.20138 10.60410 1.20997 0.42702
112.25109 1.62492 0.10329 -0.20138 10.60410 0.63381 0.12289
127.29511 1.62492 0.10329 -0.20138 10.60410 0.54333 0.05429
142.37017 1.62492 0.10329 -0.20138 10.60410 0.45144 0.03761
157.44187 1.62492 0.10329 -0.20138 10.60410 0.43885 0.03532
172.49472 1.62492 0.10329 -0.20138 10.60410 0.39763 0.04547
195.15603 1.62492 0.10329 -0.20138 10.60410 0.42566 0.06410
271.44586 1.62492 0.10329 -0.20138 10.60410 0.95282 0.10854
292.97386 1.62492 0.10329 -0.20138 10.60410 1.35085 0.11941
308.09924 1.62492 0.10329 -0.20138 10.60410 1.99634 0.14428
338.51239 1.62492 0.10329 -0.20138 10.60410 10.07348 1.87930
36.55783 1.63262 0.10222 -0.32796 10.60410 1.76062 0.12108
51.75757 1.63262 0.10222 -0.32796 10.60410 0.96716 0.06236
72.98503 1.63262 0.10222 -0.32796 10.60410 0.51762 0.04572
112.23532 1.63262 0.10222 -0.32796 10.60410 0.21944 0.06963
134.36101 1.63262 0.10222 -0.32796 10.60410 0.17397 0.01364
157.43049 1.63262 0.10222 -0.32796 10.60410 0.17781 0.01554
180.00625 1.63262 0.10222 -0.32796 10.60410 0.18210 0.01699
247.75816 1.63262 0.10222 -0.32796 10.60410 0.25054 0.05330
262.79533 1.63262 0.10222 -0.32796 10.60410 0.16390 0.03076
277.91941 1.63262 0.10222 -0.32796 10.60410 0.43353 0.06261
293.01361 1.63262 0.10222 -0.32796 10.60410 0.53607 0.05006
308.20089 1.63262 0.10222 -0.32796 10.60410 0.94315 0.06069
323.45263 1.63262 0.10222 -0.32796 10.60410 1.75999 0.11853
20.97036 1.60546 0.10950 -0.47267 10.60410 1.73778 0.28675
36.49344 1.60546 0.10950 -0.47267 10.60410 0.70290 0.03822
51.78805 1.60546 0.10950 -0.47267 10.60410 0.33233 0.02431
66.97631 1.60546 0.10950 -0.47267 10.60410 0.20322 0.03949
127.35460 1.60546 0.10950 -0.47267 10.60410 0.07365 0.01688
142.37934 1.60546 0.10950 -0.47267 10.60410 0.07217 0.00984
157.46110 1.60546 0.10950 -0.47267 10.60410 0.04708 0.00694
172.47352 1.60546 0.10950 -0.47267 10.60410 0.06396 0.00953
195.15233 1.60546 0.10950 -0.47267 10.60410 0.04794 0.01314
240.85726 1.60546 0.10950 -0.47267 10.60410 0.05753 0.01195
262.84769 1.60546 0.10950 -0.47267 10.60410 0.09590 0.01325
277.94570 1.60546 0.10950 -0.47267 10.60410 0.12921 0.01818
293.02362 1.60546 0.10950 -0.47267 10.60410 0.23142 0.03597
308.21072 1.60546 0.10950 -0.47267 10.60410 0.33331 0.02552
323.51880 1.60546 0.10950 -0.47267 10.60410 0.71556 0.04196
339.05691 1.60546 0.10950 -0.47267 10.60410 1.73795 0.30812
21.28437 1.59936 0.10886 -0.67430 10.60410 0.69630 0.07807
36.55027 1.59936 0.10886 -0.67430 10.60410 0.31542 0.02461
51.80810 1.59936 0.10886 -0.67430 10.60410 0.18689 0.02464
78.67405 1.59936 0.10886 -0.67430 10.60410 0.06200 0.01714
134.48359 1.59936 0.10886 -0.67430 10.60410 0.02949 0.00660
