# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
97.13 1.39 0.155 0.15 5.75 1.5676 0.0972
112.2 1.39 0.155 0.15 5.75 1.3226 0.1014
127.27 1.39 0.155 0.15 5.75 0.9156 0.0896
142.33 1.39 0.155 0.15 5.75 0.6753 0.0644
157.4 1.39 0.155 0.15 5.75 0.8193 0.0697
172.47 1.39 0.155 0.15 5.75 0.7601 0.0803
187.53 1.39 0.155 0.15 5.75 0.8771 0.0899
202.6 1.39 0.155 0.15 5.75 0.7889 0.0709
217.67 1.39 0.155 0.15 5.75 0.8822 0.0759
232.73 1.39 0.155 0.15 5.75 1.0459 0.0979
247.8 1.39 0.155 0.15 5.75 1.0511 0.0876
262.87 1.39 0.155 0.15 5.75 1.3204 0.0868
277.95 1.39 0.155 0.15 5.75 1.9731 0.1197
291.94 1.39 0.155 0.15 5.75 2.8219 0.1722
67.32 1.39 0.155 0.2 5.75 1.76 0.1394
82.02 1.39 0.155 0.2 5.75 1.1427 0.0894
97.11 1.39 0.155 0.2 5.75 0.9893 0.0765
112.19 1.39 0.155 0.2 5.75 0.6613 0.0658
127.26 1.39 0.155 0.2 5.75 0.5539 0.0651
142.33 1.39 0.155 0.2 5.75 0.503 0.0545
157.4 1.39 0.155 0.2 5.75 0.4168 0.0474
172.47 1.39 0.155 0.2 5.75 0.4626 0.0577
187.53 1.39 0.155 0.2 5.75 0.3445 0.0513
202.6 1.39 0.155 0.2 5.75 0.4444 0.0483
217.67 1.39 0.155 0.2 5.75 0.6003 0.0579
232.74 1.39 0.155 0.2 5.75 0.6781 0.0739
247.81 1.39 0.155 0.2 5.75 0.715 0.0706
262.89 1.39 0.155 0.2 5.75 1.0285 0.0775
277.98 1.39 0.155 0.2 5.75 1.1287 0.0857
292.68 1.39 0.155 0.2 5.75 1.8929 0.1422
66.92 1.39 0.155 0.26 5.75 1.2582 0.0985
82 1.39 0.155 0.26 5.75 0.7821 0.0644
97.09 1.39 0.155 0.26 5.75 0.4133 0.0394
112.18 1.39 0.155 0.26 5.75 0.445 0.0446
127.25 1.39 0.155 0.26 5.75 0.3276 0.0416
142.32 1.39 0.155 0.26 5.75 0.2976 0.036
157.39 1.39 0.155 0.26 5.75 0.2753 0.0324
172.46 1.39 0.155 0.26 5.75 0.2821 0.036
187.54 1.39 0.155 0.26 5.75 0.225 0.0347
202.61 1.39 0.155 0.26 5.75 0.3381 0.0363
217.68 1.39 0.155 0.26 5.75 0.2467 0.03
232.75 1.39 0.155 0.26 5.75 0.3753 0.0418
247.82 1.39 0.155 0.26 5.75 0.3111 0.039
262.91 1.39 0.155 0.26 5.75 0.5864 0.049
278 1.39 0.155 0.26 5.75 0.791 0.0606
293.08 1.39 0.155 0.26 5.75 1.1056 0.0914
54.08 1.39 0.155 0.34 5.75 1.057 0.0848
66.88 1.39 0.155 0.34 5.75 0.7246 0.0617
81.99 1.39 0.155 0.34 5.75 0.4383 0.0421
97.08 1.39 0.155 0.34 5.75 0.3362 0.0316
112.17 1.39 0.155 0.34 5.75 0.3073 0.0318
127.25 1.39 0.155 0.34 5.75 0.2201 0.0298
142.32 1.39 0.155 0.34 5.75 0.2008 0.0262
157.39 1.39 0.155 0.34 5.75 0.1836 0.0235
172.46 1.39 0.155 0.34 5.75 0.1949 0.0255
187.54 1.39 0.155 0.34 5.75 0.1815 0.0279
