this_binnum,integrated_binnum,phi_binnum,phi_width,xBmin,xBmax,Q2min,Q2max,t1min,t1max,this_bin_volume,bin_volume,xBbin,Q2bin,tbin,xB_avg_this_point,Q2_avg_this_point,t_avg_this_point,phi_avg_this_point,tmin_this_point,tcol_this_point,P1_this_point,P2_this_point,maxP1P2,minP1P2,acceptance_inb,active_bin_inb,acceptance_outb,active_bin_outb,acceptance,active_bin
253,15,18,2,0.09,0.118,1.2,1.456,0.15,0.25,0.0003753156023488583,0.0045037872281863,1,1,1,0.10025516945075442,1.3368929438232016,0.19832151066702006,286.73027281111797,-0.009699359785065025,0.47275810457769546,-0.06603671621241936,0.9176916212791879,-0.0029216145810758948,-0.29406440050620336,0.00042079175748453837,0,0.0019101209000140403,1,0.001187056498769197,0
254,15,20,1,0.09,0.118,1.2,1.456,0.15,0.25,0.00018765780117442916,0.0045037872281863,1,1,1,0.10025516945075442,1.3368929438232016,0.19832151066702006,308.09204432796884,-0.009699359785065025,0.47275810457769546,-0.06638505263450094,0.9180399577012694,-0.003098897599917438,-0.29445880600528024,0.0001857230709355157,0,0.002764702125708183,1,0.0015121307225042157,0
255,15,21,1,0.09,0.118,1.2,1.456,0.15,0.25,0.00018765780117442916,0.0045037872281863,1,1,1,0.10025516945075442,1.3368929438232016,0.19832151066702006,323.1484360235307,-0.009699359785065025,0.47275810457769546,-0.0666455572847588,0.9183004623515274,-0.0031031028301721133,-0.29974097985440185,6.972384597156862e-05,0,0.0015187359867986617,0,0.0008159234256847164,0
256,15,22,2,0.09,0.118,1.2,1.456,0.15,0.25,0.0003753156023488583,0.0045037872281863,1,1,1,0.10025516945075442,1.3368929438232016,0.19832151066702006,347.59040913855443,-0.009699359785065025,0.47275810457769546,-0.0670948221181528,0.9187497271849213,-0.0032863790663154612,-0.3004016742342162,0.0,0,0.00016957815113815753,0,8.771426964937306e-05,0
257,16,0,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,4.479217620836411,-0.008876146054568795,0.4217329566472757,-0.003988065942676798,0.7509287167352183,-3.953198683507632e-07,-0.12134780559633937,0.0,0,3.8594163833531857e-07,0,1.9983141964619926e-07,0
258,16,1,2,0.09,0.118,1.2,1.456,0.25,0.4,0.0005629734035232833,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,25.526093755916037,-0.008876146054568795,0.4217329566472757,-0.0040082608649461785,0.7509489116574878,-4.429048584486368e-06,-0.12334065236404437,0.00010325667747843968,0,0.002275518056508333,1,0.001229591261467254,0
259,16,3,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,51.76336891721987,-0.008876146054568795,0.4217329566472757,-0.004073107357366741,0.7510137581499083,-3.450397379751706e-05,-0.12268844861963658,0.00044032182606275783,0,0.0071673586186410485,1,0.003911285706718935,0
260,16,4,2,0.09,0.118,1.2,1.456,0.25,0.4,0.0005629734035232833,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,73.05705305489418,-0.008876146054568795,0.4217329566472757,-0.00415809742791772,0.7510987482204593,-6.858316535283848e-05,-0.12211216021737258,0.00040378683177841557,0,0.001985800558738128,1,0.0012222074893924906,0
261,16,6,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,97.16661864872924,-0.008876146054568795,0.4217329566472757,-0.004289322967154189,0.7512299737596958,-0.00014482425751907187,-0.12477499691110644,0.0,0,1.7893473951137212e-06,0,9.210171386018922e-07,0
262,16,7,2,0.09,0.118,1.2,1.456,0.25,0.4,0.0005629734035232833,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,119.23348173789775,-0.008876146054568795,0.4217329566472757,-0.00444200124920032,0.7513826520417419,-0.00019758462528312698,-0.12464274152024682,0.00010740636695799423,0,0.007501681667538847,1,0.003920750880809987,1
263,16,9,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,142.41826946839228,-0.008876146054568795,0.4217329566472757,-0.004635942219439457,0.751576593011981,-0.0003084053777903092,-0.12228478485857318,0.0019263506842769652,0,0.036981551198045526,1,0.02007293977380686,1
264,16,10,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,157.4480858177146,-0.008876146054568795,0.4217329566472757,-0.004780017242266842,0.7517206680348084,-0.0003919420542872089,-0.12178790595697903,0.0017677610919716812,0,0.04514555712576971,1,0.02411593595152968,1
